method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,551,547,6.691215991973877,4,551,libero_object_20260908
dyn_radius,episode,0.03,551,536,6.311035633087158,15,551,libero_object_20260908
dyn_radius,episode,0.05,551,525,6.018590927124023,26,551,libero_object_20260908
dyn_radius,episode,0.1,551,497,5.577939987182617,54,551,libero_object_20260908
dyn_radius,episode,0.15,551,470,5.248320579528809,81,551,libero_object_20260908
dyn_radius,episode,0.2,551,442,4.938217639923096,109,551,libero_object_20260908
dyn_radius,task_init,0.01,70,71,inf,0,551,libero_object_20260908
dyn_radius,task_init,0.03,70,69,6.939525127410889,1,551,libero_object_20260908
dyn_radius,task_init,0.05,70,68,6.813446521759033,2,551,libero_object_20260908
dyn_radius,task_init,0.1,70,64,6.495542049407959,6,551,libero_object_20260908
dyn_radius,task_init,0.15,70,61,6.032711982727051,9,551,libero_object_20260908
dyn_radius,task_init,0.2,70,57,5.560141086578369,13,551,libero_object_20260908
dyn_radius_outward,episode,0.01,551,547,5.046494483947754,4,551,libero_object_20260908
dyn_radius_outward,episode,0.03,551,536,4.531124114990234,15,551,libero_object_20260908
dyn_radius_outward,episode,0.05,551,525,3.88163161277771,26,551,libero_object_20260908
dyn_radius_outward,episode,0.1,551,497,3.2549660205841064,54,551,libero_object_20260908
dyn_radius_outward,episode,0.15,551,470,2.968074321746826,81,551,libero_object_20260908
dyn_radius_outward,episode,0.2,551,442,2.625202178955078,109,551,libero_object_20260908
dyn_radius_outward,task_init,0.01,70,71,inf,0,551,libero_object_20260908
dyn_radius_outward,task_init,0.03,70,69,5.287440776824951,1,551,libero_object_20260908
dyn_radius_outward,task_init,0.05,70,68,4.868671894073486,2,551,libero_object_20260908
dyn_radius_outward,task_init,0.1,70,64,4.112029075622559,6,551,libero_object_20260908
dyn_radius_outward,task_init,0.15,70,61,3.767416477203369,9,551,libero_object_20260908
dyn_radius_outward,task_init,0.2,70,57,3.4823079109191895,13,551,libero_object_20260908
dyn_success_knn_k1,episode,0.01,551,547,1.4456926584243774,4,551,libero_object_20260908
dyn_success_knn_k1,episode,0.03,551,536,1.2796396017074585,15,551,libero_object_20260908
dyn_success_knn_k1,episode,0.05,551,525,1.2258973121643066,26,551,libero_object_20260908
dyn_success_knn_k1,episode,0.1,551,497,1.1308926343917847,54,551,libero_object_20260908
dyn_success_knn_k1,episode,0.15,551,470,1.0746161937713623,81,551,libero_object_20260908
dyn_success_knn_k1,episode,0.2,551,442,1.0378379821777344,109,551,libero_object_20260908
dyn_success_knn_k1,task_init,0.01,70,71,inf,0,551,libero_object_20260908
dyn_success_knn_k1,task_init,0.03,70,69,1.5048785209655762,1,551,libero_object_20260908
dyn_success_knn_k1,task_init,0.05,70,68,1.4755815267562866,2,551,libero_object_20260908
dyn_success_knn_k1,task_init,0.1,70,64,1.3407584428787231,6,551,libero_object_20260908
dyn_success_knn_k1,task_init,0.15,70,61,1.3343424797058105,9,551,libero_object_20260908
dyn_success_knn_k1,task_init,0.2,70,57,1.2791900634765625,13,551,libero_object_20260908
dyn_success_knn_k5,episode,0.01,551,547,1.5575535297393799,4,551,libero_object_20260908
dyn_success_knn_k5,episode,0.03,551,536,1.4457550048828125,15,551,libero_object_20260908
dyn_success_knn_k5,episode,0.05,551,525,1.3303239345550537,26,551,libero_object_20260908
dyn_success_knn_k5,episode,0.1,551,497,1.2362207174301147,54,551,libero_object_20260908
dyn_success_knn_k5,episode,0.15,551,470,1.1833703517913818,81,551,libero_object_20260908
dyn_success_knn_k5,episode,0.2,551,442,1.1275134086608887,109,551,libero_object_20260908
dyn_success_knn_k5,task_init,0.01,70,71,inf,0,551,libero_object_20260908
dyn_success_knn_k5,task_init,0.03,70,69,1.7866220474243164,1,551,libero_object_20260908
dyn_success_knn_k5,task_init,0.05,70,68,1.563417673110962,2,551,libero_object_20260908
dyn_success_knn_k5,task_init,0.1,70,64,1.5526010990142822,6,551,libero_object_20260908
dyn_success_knn_k5,task_init,0.15,70,61,1.4502354860305786,9,551,libero_object_20260908
dyn_success_knn_k5,task_init,0.2,70,57,1.3400713205337524,13,551,libero_object_20260908
dyn_success_knn_k20,episode,0.01,551,547,1.8882981538772583,4,551,libero_object_20260908
dyn_success_knn_k20,episode,0.03,551,536,1.5955252647399902,15,551,libero_object_20260908
dyn_success_knn_k20,episode,0.05,551,525,1.5130363702774048,26,551,libero_object_20260908
dyn_success_knn_k20,episode,0.1,551,497,1.4190787076950073,54,551,libero_object_20260908
dyn_success_knn_k20,episode,0.15,551,470,1.3588749170303345,81,551,libero_object_20260908
dyn_success_knn_k20,episode,0.2,551,442,1.3030381202697754,109,551,libero_object_20260908
dyn_success_knn_k20,task_init,0.01,70,71,inf,0,551,libero_object_20260908
dyn_success_knn_k20,task_init,0.03,70,69,2.424532175064087,1,551,libero_object_20260908
dyn_success_knn_k20,task_init,0.05,70,68,1.8084982633590698,2,551,libero_object_20260908
dyn_success_knn_k20,task_init,0.1,70,64,1.697395920753479,6,551,libero_object_20260908
dyn_success_knn_k20,task_init,0.15,70,61,1.5955252647399902,9,551,libero_object_20260908
dyn_success_knn_k20,task_init,0.2,70,57,1.5656441450119019,13,551,libero_object_20260908
dyn_success_knn_k20_persist3,episode,0.01,551,547,1.674267053604126,4,551,libero_object_20260908
dyn_success_knn_k20_persist3,episode,0.03,551,536,1.3684966564178467,15,551,libero_object_20260908
