method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,551,547,7.890346527099609,4,551,libero_spatial_20260908
dyn_radius,episode,0.03,551,536,7.306221008300781,15,551,libero_spatial_20260908
dyn_radius,episode,0.05,551,525,6.84358024597168,26,551,libero_spatial_20260908
dyn_radius,episode,0.1,551,497,5.808568954467773,54,551,libero_spatial_20260908
dyn_radius,episode,0.15,551,470,5.029216289520264,81,551,libero_spatial_20260908
dyn_radius,episode,0.2,551,442,4.42454195022583,109,551,libero_spatial_20260908
dyn_radius,task_init,0.01,70,71,inf,0,551,libero_spatial_20260908
dyn_radius,task_init,0.03,70,69,7.927718162536621,1,551,libero_spatial_20260908
dyn_radius,task_init,0.05,70,68,7.774963855743408,2,551,libero_spatial_20260908
dyn_radius,task_init,0.1,70,64,7.223246097564697,6,551,libero_spatial_20260908
dyn_radius,task_init,0.15,70,61,5.973587989807129,9,551,libero_spatial_20260908
dyn_radius,task_init,0.2,70,57,5.606849670410156,13,551,libero_spatial_20260908
dyn_radius_outward,episode,0.01,551,547,5.7988176345825195,4,551,libero_spatial_20260908
dyn_radius_outward,episode,0.03,551,536,5.476062774658203,15,551,libero_spatial_20260908
dyn_radius_outward,episode,0.05,551,525,5.087784290313721,26,551,libero_spatial_20260908
dyn_radius_outward,episode,0.1,551,497,4.248556137084961,54,551,libero_spatial_20260908
dyn_radius_outward,episode,0.15,551,470,3.0535335540771484,81,551,libero_spatial_20260908
dyn_radius_outward,episode,0.2,551,442,2.4457833766937256,109,551,libero_spatial_20260908
dyn_radius_outward,task_init,0.01,70,71,inf,0,551,libero_spatial_20260908
dyn_radius_outward,task_init,0.03,70,69,5.991023063659668,1,551,libero_spatial_20260908
dyn_radius_outward,task_init,0.05,70,68,5.785663604736328,2,551,libero_spatial_20260908
dyn_radius_outward,task_init,0.1,70,64,5.227624893188477,6,551,libero_spatial_20260908
dyn_radius_outward,task_init,0.15,70,61,4.359700679779053,9,551,libero_spatial_20260908
dyn_radius_outward,task_init,0.2,70,57,3.595431089401245,13,551,libero_spatial_20260908
dyn_success_knn_k1,episode,0.01,551,547,1.6459351778030396,4,551,libero_spatial_20260908
dyn_success_knn_k1,episode,0.03,551,536,1.4001967906951904,15,551,libero_spatial_20260908
dyn_success_knn_k1,episode,0.05,551,525,1.316388487815857,26,551,libero_spatial_20260908
dyn_success_knn_k1,episode,0.1,551,497,1.1419421434402466,54,551,libero_spatial_20260908
dyn_success_knn_k1,episode,0.15,551,470,1.080114722251892,81,551,libero_spatial_20260908
dyn_success_knn_k1,episode,0.2,551,442,1.0178405046463013,109,551,libero_spatial_20260908
dyn_success_knn_k1,task_init,0.01,70,71,inf,0,551,libero_spatial_20260908
dyn_success_knn_k1,task_init,0.03,70,69,1.7471716403961182,1,551,libero_spatial_20260908
dyn_success_knn_k1,task_init,0.05,70,68,1.6744515895843506,2,551,libero_spatial_20260908
dyn_success_knn_k1,task_init,0.1,70,64,1.6049916744232178,6,551,libero_spatial_20260908
dyn_success_knn_k1,task_init,0.15,70,61,1.4458707571029663,9,551,libero_spatial_20260908
dyn_success_knn_k1,task_init,0.2,70,57,1.3365826606750488,13,551,libero_spatial_20260908
dyn_success_knn_k5,episode,0.01,551,547,1.837066411972046,4,551,libero_spatial_20260908
dyn_success_knn_k5,episode,0.03,551,536,1.5554097890853882,15,551,libero_spatial_20260908
dyn_success_knn_k5,episode,0.05,551,525,1.4235329627990723,26,551,libero_spatial_20260908
dyn_success_knn_k5,episode,0.1,551,497,1.265203595161438,54,551,libero_spatial_20260908
dyn_success_knn_k5,episode,0.15,551,470,1.1884688138961792,81,551,libero_spatial_20260908
dyn_success_knn_k5,episode,0.2,551,442,1.144282341003418,109,551,libero_spatial_20260908
dyn_success_knn_k5,task_init,0.01,70,71,inf,0,551,libero_spatial_20260908
dyn_success_knn_k5,task_init,0.03,70,69,1.8878854513168335,1,551,libero_spatial_20260908
dyn_success_knn_k5,task_init,0.05,70,68,1.8710598945617676,2,551,libero_spatial_20260908
