cohort,detector,task_agnostic,tp,fp,risk_recall,precision,timely_fpr
development_main,unknown_task_dual_with_task_prototypes,False,285,46,0.5852156057494866,0.8610271903323263,0.0032138615244882
development_main,v4_task_profile,False,372,67,0.7638603696098563,0.8473804100227791,0.0046810591769719
development_main,v6_suite_task_profile,False,366,34,0.7515400410677618,0.915,0.002375462865926
development_main,intrinsic_guard_v7,True,382,67,0.784394250513347,0.8507795100222717,0.0046810591769719835
external_8b,unknown_task_dual_with_task_prototypes,False,324,87,0.574468085106383,0.7883211678832117,0.0057861133280127
external_8b,v4_task_profile,False,410,81,0.7269503546099291,0.835030549898167,0.0053870710295291
external_8b,v6_suite_task_profile,False,408,45,0.723404255319149,0.9006622516556292,0.0029928172386272
external_8b,intrinsic_guard_v7,True,439,80,0.7783687943262412,0.8458574181117534,0.005320563979781857
