head,quantile,threshold,reference_episodes,task_conditioned,outcomes_used
freeze,0.975,0.5740630626678467,16000,False,False
acceleration,0.7,0.10750749707221985,16000,False,False
periodicity,0.65,0.3749159276485443,16000,False,False
