freeze_quantile,acceleration_quantile,periodicity_quantile,tp,fp,risk_recall,precision,timely_fpr,early4_risk_recall,f1
0.95,0.7,0.5,423,412,0.8685831622176592,0.5065868263473053,0.02878502061063369,0.6981519507186859,0.6399394856278365
0.95,0.7,0.55,420,408,0.8624229979466119,0.5072463768115942,0.028505554391112974,0.6919917864476386,0.6387832699619772
0.95,0.7,0.6,417,405,0.8562628336755647,0.5072992700729927,0.028295954726472436,0.6858316221765913,0.6371275783040489
0.95,0.7,0.65,415,402,0.8521560574948666,0.5079559363525091,0.0280863550618319,0.6817248459958932,0.6365030674846625
0.95,0.7,0.7,410,400,0.8418891170431212,0.5061728395061729,0.027946621952071544,0.6735112936344969,0.6322282189668467
0.95,0.7,0.75,400,398,0.8213552361396304,0.5012531328320802,0.027806888842311184,0.6591375770020534,0.6225680933852139
0.95,0.7,0.8,394,394,0.8090349075975359,0.5,0.02752742262279047,0.648870636550308,0.6180392156862745
0.95,0.7,0.85,388,392,0.7967145790554415,0.49743589743589745,0.02738768951303011,0.6365503080082136,0.6124704025256511
0.95,0.7,0.9,380,391,0.7802874743326489,0.49286640726329445,0.027317822958149933,0.6262833675564682,0.604133545310016
0.95,0.7,0.95,376,391,0.7720739219712526,0.49022164276401564,0.027317822958149933,0.6180698151950719,0.5996810207336523
0.95,0.75,0.5,417,409,0.8562628336755647,0.5048426150121066,0.028575420945993153,0.6919917864476386,0.6351865955826352
0.95,0.75,0.55,414,406,0.8501026694045175,0.5048780487804878,0.028365821281352618,0.6858316221765913,0.6335118592195869
0.95,0.75,0.6,411,403,0.8439425051334702,0.504914004914005,0.02815622161671208,0.6796714579055442,0.6318216756341276
0.95,0.75,0.65,409,400,0.839835728952772,0.5055624227441285,0.027946621952071544,0.675564681724846,0.6311728395061728
0.95,0.75,0.7,404,398,0.8295687885010267,0.5037406483790524,0.027806888842311184,0.6673511293634496,0.6268425135764158
