concept,kind,family,unit,task,valid_init_clusters,queries,geometry,state_soft_routing,geometry_plus_state_soft
eef_y_m,continuous,eef_position,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.996990098983068,0.9772673776833696,0.9936833264138341
eef_y_m,continuous,eef_position,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9975120103621145,0.9925650756671422,0.9968055480677489
eef_z_m,continuous,eef_position,m,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9970387193481,0.9925439373877627,0.994208725605304
eef_z_m,continuous,eef_position,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9988147180317668,0.9944888718120053,0.9974283601749774
eef_z_m,continuous,eef_position,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9999080612394343,0.972283364328016,0.9988120752442502
eef_z_m,continuous,eef_position,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9965510865908342,0.9886605742024989,0.9943008303302256
eef_z_m,continuous,eef_position,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9984544069866397,0.9879964225039943,0.9950417440990713
eef_axis_angle_x,continuous,eef_orientation,rad,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9960914605426342,0.9932283086118355,0.9958451706061386
eef_axis_angle_x,continuous,eef_orientation,rad,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9995340205388528,0.6690183696838545,0.9968372058588308
eef_axis_angle_x,continuous,eef_orientation,rad,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9998051579054181,0.9844870546489223,0.998580437127423
eef_axis_angle_x,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9975343693148492,0.9163744286845059,0.984834312756424
eef_axis_angle_x,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9988844804755184,0.9430514530415891,0.993988637442255
eef_axis_angle_y,continuous,eef_orientation,rad,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9958062112421516,0.9919217042013129,0.9946340674025673
eef_axis_angle_y,continuous,eef_orientation,rad,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9987193116583,0.9560202682033034,0.9936257242670317
