concept,kind,task,init_state_id,queries,target_mean,target_sd,geometry,state_soft_routing,geometry_plus_state_soft
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,0,415,0.07693992032703147,0.005584962697294982,0.9997692776442972,0.9861709660039268,0.9977732464697063
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,3,386,0.07751962748100412,0.005261177800628938,0.9997202775282353,0.9578513631868995,0.9923829236057461
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,7,392,0.07307724103483619,0.012484111767710627,0.9996595234572302,0.9606568400540606,0.995761515188194
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,10,416,0.07950253723762356,0.0008590506754432014,0.9989527346274967,0.7014289175406974,0.9420863695723607
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,13,416,0.0794397654513327,0.0008021638601132193,0.9991528577967468,0.7544224078268844,0.9549231986091885
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,16,384,0.07744533290194038,0.004721233213946059,0.9997792130933301,0.969816499924801,0.9948004800676252
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,20,410,0.07772104938219233,0.003146935971805366,0.9998335322352143,0.770300962598131,0.9797944450884161
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,23,392,0.0790892866040979,0.0017789453574512258,0.9994753719063697,0.8182655983415296,0.965812982571432
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,26,416,0.07911839225114538,0.0011457320839193814,0.9991861248695469,0.692441726297655,0.941625541557649
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,29,384,0.07958427566336468,0.0008998192431667057,0.9981258699213641,0.7374017954103784,0.9410717306202033
gripper_aperture_m,continuous,libero_goal/open_the_middle_drawer_of_the_cabinet,33,384,0.07933888398110867,0.0007057476971466175,0.9982121679025041,0.5129649981273441,0.9085110980372986
