concept,kind,family,unit,tasks,valid_task_init_clusters,queries,chance,geometry,state_soft_routing,geometry_plus_state_soft,route_ci95_low,route_ci95_high,routing_minus_chance,joint_minus_geometry,joint_minus_geometry_ci95_low,joint_minus_geometry_ci95_high,mde80_joint_minus_geometry,readable_from_state_soft_routing,increment_beyond_geometry
gripper_aperture_m,continuous,gripper,m,5,80,51308,0.0,0.9994901432311536,0.943183636635692,0.9888056437752543,0.8310605289517414,0.9951167436947624,0.943183636635692,-0.010684499455899332,-0.02993038738762672,-0.0012840121266448957,0.02370760352813135,True,False
gripper_command_mean,continuous,action_command,native,5,80,51308,0.0,0.777330910937864,0.8278186576399772,0.8280406453622241,0.5164496079451967,0.9829860995683296,0.8278186576399772,0.05070973442436011,-0.017507002863830334,0.10986853080192469,0.08621296261897476,True,False
eef_x_m,continuous,eef_position,m,5,80,51308,0.0,0.9979170844252649,0.9880130700664786,0.9957915701310418,0.9825434277365472,0.9920519967729164,0.9880130700664786,-0.002125514294223141,-0.0035126952920152246,-0.0008088466174506927,0.001976029828062166,True,False
eef_y_m,continuous,eef_position,m,5,80,51308,0.0,0.9981464322265481,0.985202781866823,0.9954564102779111,0.9800535019196335,0.989612361645286,0.985202781866823,-0.002690021948636989,-0.004277965612692591,-0.0012756755621706338,0.002310899170044,True,False
eef_z_m,continuous,eef_position,m,5,80,51308,0.0,0.998153398439355,0.9871946340468554,0.9959583470907656,0.9791971180004729,0.9928005498739664,0.9871946340468554,-0.0021950513485894385,-0.003174784519700424,-0.0013670557830725238,0.0012965603142114802,True,False
eef_axis_angle_x,continuous,eef_orientation,rad,5,80,51308,0.0,0.9983698977554546,0.9012319229341414,0.9940171527582142,0.7873648657743941,0.9779919214321486,0.9012319229341414,-0.004352744997240365,-0.00956896450357927,-0.0011533381388283055,0.00641332321097782,True,False
eef_axis_angle_y,continuous,eef_orientation,rad,5,80,51308,0.0,0.9971601092669788,0.9725880601596746,0.9943307528562801,0.9539841323040141,0.988931688281418,0.9725880601596746,-0.0028293564106987024,-0.005534494687570013,-0.0002635869145469461,0.003913153391982393,True,False
eef_axis_angle_z,continuous,eef_orientation,rad,5,80,51308,0.0,0.9987520143971509,0.9628737041229336,0.9940218834909645,0.946435861651891,0.9787848823881687,0.9628737041229336,-0.004730130906186347,-0.007584880944374048,-0.0022095131746601676,0.0038475981774657607,True,False
eef_axis_angle_norm_rad,continuous,eef_orientation,rad,5,80,51308,0.0,0.9376018826680275,0.8398216820776963,0.9723262583889356,0.6290933026879343,0.9636435131164645,0.8398216820776963,0.03472437572090814,0.022123475173057888,0.0479526230362347,0.01983804502290419,True,True
target_x_m,continuous,target_position,m,4,64,44856,0.0,0.9977996951657658,0.9240735540764469,0.9959676205253007,0.863989457129063,0.9714209539671658,0.9240735540764469,-0.0018320746404650867,-0.0028749821838391977,-0.0007260426211701228,0.0015408332182912446,True,False
target_y_m,continuous,target_position,m,4,64,44856,0.0,0.9985025300647339,0.7509934341306819,0.9950656185006722,0.5450952710917634,0.9408285628995166,0.7509934341306819,-0.003436911564061673,-0.005832386448649496,-0.0011108411852743419,0.0034192459067567964,True,False
target_z_m,continuous,target_position,m,4,64,44856,0.0,0.9972515971942233,0.9491518820327548,0.9948764610284996,0.9315154331597302,0.966498297890092,0.9491518820327548,-0.0023751361657237124,-0.004001719833121434,-0.0009865271667639094,0.002301278735302273,True,False
target_quat_w,continuous,target_orientation,unitless,4,64,44856,0.0,0.9976548540859772,0.6361150689870766,0.9967625314426267,0.5177859778841195,0.7608793680944069,0.6361150689870766,-0.0008923226433504849,-0.0014152784754840081,-0.00029569192685068333,0.0007969749244666384,True,False
target_quat_x,continuous,target_orientation,unitless,4,64,44856,0.0,0.9993667752409207,0.5131248652182383,0.9980339287835254,0.35291198763557124,0.6527917851185168,0.5131248652182383,-0.001332846457395287,-0.0024583304729334063,-0.00039091397579287814,0.0015342304080384116,True,False
target_quat_y,continuous,target_orientation,unitless,4,64,44856,0.0,0.9992820953285513,0.5178796776619108,0.9975626515374574,0.1560705187098829,0.7644163802348899,0.5178796776619108,-0.0017194437910938998,-0.0035215412317165322,-0.0004282759749373036,0.0021445886681189913,True,False
target_quat_z,continuous,target_orientation,unitless,4,64,44856,0.0,0.9980342599388926,0.5442787336400826,0.9970911132929303,0.3748996741425025,0.7122565244267363,0.5442787336400826,-0.0009431466459622895,-0.0015052727216352591,-0.00036795443908527756,0.0008764131812516354,True,False
target_tilt_rad,continuous,target_orientation,rad,4,64,44856,0.0,0.676774230478876,0.5595706535491761,0.6843490550464919,0.4228139461128691,0.697761453227258,0.5595706535491761,0.007574824567615934,-0.02543896478950774,0.03418928290764127,0.04288431463555831,True,False
target_minus_eef_x_m,continuous,relative_geometry,m,4,64,44856,0.0,0.9797687953633606,0.8900128273787566,0.977537085537047,0.7907767131620659,0.9498634696547754,0.8900128273787566,-0.0022317098263135993,-0.012141316776871811,0.00952250091974227,0.01512614693128563,True,False
target_minus_eef_y_m,continuous,relative_geometry,m,4,64,44856,0.0,0.9910011320245589,0.8135735269027553,0.982565588639879,0.6449624470701923,0.9642351322258843,0.8135735269027553,-0.008435543384679889,-0.013933573079444123,-0.0037763404288801137,0.007683296079290525,True,False
target_minus_eef_z_m,continuous,relative_geometry,m,4,64,44856,0.0,0.9968800017277053,0.9733807747228884,0.9950345891393899,0.9632681953398824,0.9838785949997325,0.9733807747228884,-0.0018454125883153871,-0.00317460269956657,-0.0009850400306729294,0.0015705330740178368,True,False
eef_target_distance_m,continuous,relative_geometry,m,4,64,44856,0.0,0.9796810528042239,0.9434601978599005,0.9887301991838097,0.887192619354269,0.9781041935895918,0.9434601978599005,0.00904914637958576,-0.0034545828683110653,0.029151043913551482,0.02473673488209182,True,False
target_goal_distance_m,continuous,goal_progress,m,4,64,44856,0.0,0.9900306963028024,0.935929592383019,0.992528610375081,0.8947998189636118,0.9668455279842858,0.935929592383019,0.0024979140722786175,-0.0007718667881999873,0.00597193266382332,0.004779538903776732,True,False
drawer_position_native,continuous,drawer,native,2,32,16470,0.0,0.9976732157712306,0.9629174453609769,0.9890561379703094,0.9461198006647482,0.9807967061468844,0.9629174453609769,-0.008617077800921136,-0.014918293086016195,-0.004531283748979949,0.007533271509218241,True,False
drawer_goal_distance_native,continuous,drawer,native,2,32,16470,0.0,0.9667331051386108,0.9697526955581146,0.9823542016587924,0.9555268780992765,0.9837839313542697,0.9697526955581146,0.015621096520181621,-0.01123528074376659,0.05043235601559872,0.04865859160751124,True,False
task_progress,continuous,goal_progress,normalized,5,80,51308,0.0,0.9769231807839036,0.9539095735578018,0.9846016390074984,0.9338066370426144,0.9745398167114959,0.9539095735578018,0.0076784582235948085,-0.006099243562357168,0.029934346203422578,0.026239601961961793,True,False
task_progress_speed,continuous,motion,per_query,5,80,51308,0.0,0.93277667394447,0.9373041442388349,0.9687374526075633,0.9185413145214045,0.9579896418419592,0.9373041442388349,0.03596077866309333,0.020424732739563755,0.053947624325592074,0.02556039472935174,True,True
eef_speed_m_per_query,continuous,motion,m_per_query,5,80,51308,0.0,0.8038735236862118,0.8884669527926361,0.9357983614229681,0.8061161373864597,0.9375841648930838,0.8884669527926361,0.13192483773675634,0.06664234690690428,0.2064320395167426,0.09828508804498007,True,True
