model,snapshots,ridge_alpha,failure_rate_mse,failure_rate_mae,mse_gain_vs_mean_rate,mse_gain_vs_mean_rate_ci95_low,mse_gain_vs_mean_rate_ci95_high
initial_policy_state,4,10.0,0.14253685216367473,0.32980895787477493,0.12308814783632527,0.030231839330779046,0.18388863170420594
mean_moe_action,4,10.0,0.19847111257419492,0.3966362774372101,0.06715388742580508,0.0005167146461290406,0.14714996666066366
mean_moe_action+state,4,10.0,0.23360078769249992,0.4335891976952553,0.03202421230750008,-0.07428090271829592,0.13972818428797237
sim_state+mean_moe_action+state,4,10.0,0.23366009833455803,0.43337177485227585,0.03196490166544197,-0.07632057925077049,0.11915360420406328
initial_sim_state,4,10.0,0.24138427576420174,0.4094810336828232,0.02424072423579826,-0.1435802414665271,0.1751339272061589
as_moe,4,10.0,0.26562499875823686,0.4583333283662796,1.2417631367611648e-09,-1.904037306987849e-08,1.821252998412959e-08
mean_rate,4,,0.265625,0.45833333333333337,0.0,0.0,0.0
mean_moe_state,4,10.0,0.2797912058001524,0.47127701342105865,-0.014166205800152376,-0.16883543132254095,0.16882922642678316
mean_output_action,4,10.0,0.5127485172957131,0.6206033378839493,-0.24712351729571316,-0.6095567491319445,0.0791562052596978
