failure_type,prefix_queries,model,n_failure_branches,n_type_positive,brier,log_loss,brier_improvement_vs_rate,brier_relative_improvement_vs_rate,brier_improvement_vs_noise_action
stagnation,1,failure_rate_only,42,11,0.29105852041542174,0.894897650778794,0.0,0.0,0.03720261165356181
stagnation,1,noise+action,42,11,0.32826113206898355,2.501000807706584,-0.03720261165356181,-0.12781832189782077,0.0
stagnation,1,moe_action,42,11,0.2623322397220896,3.505990344653172,0.028726280693332162,0.09869589336306576,0.06592889234689397
stagnation,1,moe_state,42,11,0.6657696945877445,6.037351338707981,-0.37471117417232275,-1.2874083659791349,-0.33750856251876094
stagnation,1,moe_action+state,42,11,0.26815675425088187,3.6480591964371105,0.022901766164539872,0.07868440385065058,0.060104377818101684
stagnation,1,noise+action+moe_action,42,11,0.2624232345962972,3.5407840152940366,0.028635285819124556,0.09838325907193513,0.06583789747268637
stagnation,1,noise+action+moe_action+state,42,11,0.2702149994601505,3.6491093435926105,0.020843520955271255,0.071612818362169,0.05804613260883307
stagnation,3,failure_rate_only,42,11,0.29105852041542174,0.894897650778794,0.0,0.0,0.02640979956962447
stagnation,3,noise+action,42,11,0.3174683199850462,3.2467010013592352,-0.02640979956962447,-0.09073707765685854,0.0
stagnation,3,moe_action,42,11,0.29202113474274105,3.7463033502180036,-0.0009626143273193111,-0.0033072879156583073,0.02544718524230516
stagnation,3,moe_state,42,11,0.34984895895401164,3.8277795022748387,-0.058790438538589895,-0.20198837833257563,-0.032380638968965425
stagnation,3,moe_action+state,42,11,0.2835246381153023,3.7069122691813976,0.007533882300119421,0.025884424511491602,0.03394368186974389
stagnation,3,noise+action+moe_action,42,11,0.292602612865171,3.7478581713025703,-0.0015440924497492348,-0.005305092761226793,0.024865707119875236
stagnation,3,noise+action+moe_action+state,42,11,0.28184895439062324,3.6990293902081635,0.009209566024798499,0.031641630046266564,0.03561936559442297
loop_or_cycling,1,failure_rate_only,42,26,0.3227146511821384,0.8471140349838584,0.0,0.0,-0.023331584303941166
loop_or_cycling,1,noise+action,42,26,0.2993830668781972,0.7961027551429936,0.023331584303941166,0.07229787745450995,0.0
loop_or_cycling,1,moe_action,42,26,0.38488374332549846,1.0054751381582623,-0.06216909214336008,-0.1926441576656902,-0.08550067644730125
loop_or_cycling,1,moe_state,42,26,0.6118487759734998,6.699404480674032,-0.28913412479136147,-0.8959435951613357,-0.31246570909530264
loop_or_cycling,1,moe_action+state,42,26,0.39030525716477865,1.2747761453262219,-0.06759060598264027,-0.20944387165270817,-0.09092219028658144
loop_or_cycling,1,noise+action+moe_action,42,26,0.37287359832099665,0.9675834327602184,-0.05015894713885827,-0.15542816836831133,-0.07349053144279943
loop_or_cycling,1,noise+action+moe_action+state,42,26,0.3814660409045513,1.1426092428068737,-0.058751389722412894,-0.18205367964299188,-0.08208297402635406
loop_or_cycling,3,failure_rate_only,42,26,0.3227146511821384,0.8471140349838584,0.0,0.0,0.013729604892818326
loop_or_cycling,3,noise+action,42,26,0.3364442560749567,0.9966371004550331,-0.013729604892818326,-0.042544101553881455,0.0
loop_or_cycling,3,moe_action,42,26,0.4445313617676055,1.2280648754939143,-0.12181671058546711,-0.3774749926575674,-0.10808710569264879
loop_or_cycling,3,moe_state,42,26,0.6597152932384075,5.995119102147277,-0.3370006420562691,-1.0442681818808028,-0.3232710371634508
loop_or_cycling,3,moe_action+state,42,26,0.5950214060106684,2.785642585110553,-0.27230675482853006,-0.8438004095291032,-0.25857714993571174
loop_or_cycling,3,noise+action+moe_action,42,26,0.4382848226259502,1.2066154798769062,-0.11557017144381182,-0.3581187622578209,-0.1018405665509935
loop_or_cycling,3,noise+action+moe_action+state,42,26,0.6007699560594709,2.7833143753998564,-0.27805530487733254,-0.8616135147839931,-0.2643256999845142
single_subtask_omission,1,failure_rate_only,42,18,0.4176880496919767,1.0757016363679663,0.0,0.0,0.1442919106171867
single_subtask_omission,1,noise+action,42,18,0.5619799603091634,1.847075260959953,-0.1442919106171867,-0.3454537680060383,0.0
single_subtask_omission,1,moe_action,42,18,0.4464002393365569,2.159909383638854,-0.02871218964458022,-0.0687407496234426,0.11557972097260649
