failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,state,front_2_5,4,top1_mass,0.16666666666666666,0.8333333333333334,-0.6666666666666667,-0.75,-0.5,0.04950495049504951,0.9108910891089109,6,6
stagnation,1,state,front_2_5,7,top1_mass,0.3333333333333333,1.0,-0.6666666666666667,-1.0,-0.5,0.07920792079207921,0.9108910891089109,6,6
stagnation,1,state,back_12_15,2,consensus_distance,0.6666666666666666,0.16666666666666666,0.5,0.5,0.5,0.1188118811881188,1.0,6,6
stagnation,1,action,back_12_15,4,token_dispersion,0.3333333333333333,0.8333333333333334,-0.5,-0.5,-0.5,0.12871287128712872,1.0,6,6
stagnation,1,action,front_2_5,9,top1_mass,0.6666666666666666,0.16666666666666666,0.5,0.0,0.75,0.13861386138613863,1.0,6,6
stagnation,1,action,back_12_15,1,entropy,0.8333333333333334,0.3333333333333333,0.5,0.5,0.5,0.1485148514851485,1.0,6,6
stagnation,1,action,back_12_15,2,entropy,0.8333333333333334,0.3333333333333333,0.5,0.5,0.5,0.1485148514851485,1.0,6,6
stagnation,1,state,front_2_5,4,entropy,0.5,0.0,0.5,0.0,0.75,0.1485148514851485,1.0,6,6
stagnation,1,action,back_12_15,0,entropy,0.8333333333333334,0.3333333333333333,0.5,0.5,0.5,0.15841584158415842,1.0,6,6
stagnation,1,action,back_12_15,0,token_dispersion,0.3333333333333333,0.8333333333333334,-0.5,-0.5,-0.5,0.15841584158415842,1.0,6,6
stagnation,1,action,back_12_15,1,token_dispersion,0.3333333333333333,0.8333333333333334,-0.5,-0.5,-0.5,0.15841584158415842,1.0,6,6
stagnation,1,action,back_12_15,2,token_dispersion,0.3333333333333333,0.8333333333333334,-0.5,-0.5,-0.5,0.15841584158415842,1.0,6,6
stagnation,1,action,back_12_15,3,token_dispersion,0.3333333333333333,0.8333333333333334,-0.5,-0.5,-0.5,0.15841584158415842,1.0,6,6
stagnation,1,state,front_2_5,7,entropy,0.6666666666666666,0.16666666666666666,0.5,0.0,0.75,0.16831683168316833,1.0,6,6
stagnation,1,state,front_2_5,5,top1_mass,0.16666666666666666,0.6666666666666666,-0.5,-0.75,0.0,0.1782178217821782,1.0,6,6
stagnation,1,state,back_12_15,4,consensus_distance,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.5,-0.25,0.25742574257425743,1.0,6,6
stagnation,1,state,back_12_15,8,entropy,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.5,0.31683168316831684,1.0,6,6
stagnation,1,state,back_12_15,7,top1_mass,0.5,0.16666666666666666,0.33333333333333337,0.0,0.5,0.33663366336633666,1.0,6,6
stagnation,1,state,back_12_15,0,top1_mass,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.5,-0.25,0.3465346534653465,1.0,6,6
stagnation,1,state,back_12_15,7,consensus_distance,0.8333333333333334,0.5,0.33333333333333337,0.0,1.0,0.3564356435643564,1.0,6,6
stagnation,1,state,front_2_5,5,consensus_distance,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.5,-0.25,0.36633663366336633,1.0,6,6
stagnation,1,state,back_12_15,6,consensus_distance,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.5,-0.25,0.37623762376237624,1.0,6,6
stagnation,1,state,front_2_5,6,entropy,0.5,0.16666666666666666,0.33333333333333337,0.0,0.5,0.37623762376237624,1.0,6,6
