experiment,unit,leg,signal,lead,eff_auc_minus_05,ci95_lo,ci95_hi,p_maxT,n_groups,n_events_used,n_events_present,n_events_total,family,named
E3_static,U1_main16x32_S8,raw,D_tok,-4,-0.3587,-0.4446,-0.2728,0.01,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,D_tok,-3,-0.3278,-0.4505,-0.205,0.0245,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,D_tok,-2,-0.3197,-0.4598,-0.1797,0.0305,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,D_tok,-1,-0.3717,-0.4427,-0.3007,0.009,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,D_tok,0,-0.366,-0.4956,-0.2364,0.0095,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,D_tok,1,-0.3222,-0.4541,-0.1903,0.0265,11,113,146,146,56,
E3_static,U1_main16x32_S8,raw,D_tok,2,-0.3217,-0.5032,-0.1402,0.0275,11,110,143,146,56,
E3_static,U1_main16x32_S8,raw,C,-4,0.359,0.2718,0.4463,0.01,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,C,-3,0.3284,0.2033,0.4535,0.0245,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,C,-2,0.3201,0.178,0.4623,0.029,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,C,-1,0.3724,0.3017,0.4431,0.009,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,C,0,0.3656,0.2358,0.4954,0.0095,11,114,146,146,56,yes
E3_static,U1_main16x32_S8,raw,C,1,0.3244,0.1945,0.4543,0.0265,11,113,146,146,56,
E3_static,U1_main16x32_S8,raw,C,2,0.3297,0.1315,0.5279,0.0245,11,110,143,146,56,
E3_static,U1_main16x32_S8,raw,S_ent,-4,0.1279,0.0228,0.2329,0.7736,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_ent,-3,0.1474,0.0274,0.2674,0.6347,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_ent,-2,0.1786,0.0559,0.3013,0.4073,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_ent,-1,0.2439,0.143,0.3448,0.1539,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_ent,0,0.3304,0.2298,0.431,0.0215,11,114,146,146,56,yes
E3_static,U1_main16x32_S8,raw,S_ent,1,0.3509,0.2668,0.435,0.01,11,113,146,146,56,
E3_static,U1_main16x32_S8,raw,S_ent,2,0.3935,0.2891,0.4979,0.0045,11,110,143,146,56,
E3_static,U1_main16x32_S8,raw,S_margin,-4,-0.2266,-0.3181,-0.1352,0.2104,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_margin,-3,-0.1486,-0.2593,-0.0379,0.6237,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_margin,-2,-0.1788,-0.2425,-0.115,0.4048,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_margin,-1,-0.1804,-0.2876,-0.0732,0.3943,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_margin,0,-0.2918,-0.3673,-0.2164,0.062,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,S_margin,1,-0.3123,-0.4231,-0.2014,0.0375,11,113,146,146,56,
E3_static,U1_main16x32_S8,raw,S_margin,2,-0.2341,-0.3166,-0.1517,0.1849,11,110,143,146,56,
E3_static,U1_main16x32_S8,raw,V,-4,-0.3262,-0.4035,-0.249,0.026,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,V,-3,-0.2667,-0.3983,-0.135,0.096,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,V,-2,-0.3105,-0.374,-0.247,0.042,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,V,-1,-0.2788,-0.4645,-0.0931,0.076,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,V,0,-0.382,-0.4595,-0.3046,0.0045,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,V,1,-0.3245,-0.4396,-0.2093,0.0265,11,113,146,146,56,
E3_static,U1_main16x32_S8,raw,V,2,-0.3392,-0.4306,-0.2479,0.015,11,110,143,146,56,
E3_static,U1_main16x32_S8,raw,A,-4,-0.1219,-0.2287,-0.0151,0.8171,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,A,-3,-0.1187,-0.2532,0.0158,0.8356,11,114,146,146,56,
E3_static,U1_main16x32_S8,raw,A,-2,-0.1611,-0.2733,-0.049,0.5562,11,114,146,146,56,
