cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,before_half_tp,before_half_recall
development_main,all,ordinal_mdl_guard,14800,487,14313,30,457,2038,199,1839,288,12474,0.4086242299794661,0.1284845944246489,0.09764474975466143,0.43333333333333335,0.40700218818380746,8.0,0.3531827515400411,0.32854209445585214,0.2135523613963039,0.1273100616016427,0.33594546700770683,0.5204116578138105,0.07546906475046064,0.18771753502191102,0.04971647404164584,0.18298955164646458,48,0.09856262833675565
development_main,all,intrinsic_guard_v7,14800,487,14313,30,457,449,382,67,105,14246,0.784394250513347,0.0046810591769719835,0.8507795100222717,0.6333333333333333,0.7943107221006565,9.0,0.6817248459958932,0.5585215605749486,0.42505133470225875,0.351129363449692,0.7029616372715989,0.8350303041702255,0.0014482259903106298,0.008857462292185887,0.7478424354348923,0.9307704402515723,31,0.06365503080082136
external_8b,all,ordinal_mdl_guard,15600,564,15036,41,523,1965,234,1731,330,13305,0.4148936170212766,0.11512370311252992,0.11908396946564885,0.43902439024390244,0.4130019120458891,8.5,0.37056737588652483,0.34929078014184395,0.225177304964539,0.14361702127659576,0.32801811807525555,0.5040168224299064,0.0674532403091821,0.1698851801208112,0.0647689509398485,0.21903207982094977,79,0.1400709219858156
external_8b,all,intrinsic_guard_v7,15600,564,15036,41,523,519,439,80,125,14956,0.7783687943262412,0.005320563979781857,0.8458574181117534,0.7317073170731707,0.7820267686424475,12.0,0.6719858156028369,0.5868794326241135,0.4450354609929078,0.39184397163120566,0.6834911003236246,0.8348219335811248,0.002488665948770477,0.009142946999705378,0.7392049511097315,0.9128378378378377,46,0.08156028368794327
