query,left,right,left_macro_subtype_auc,right_macro_subtype_auc,delta,ci_low,ci_high,p_two_sided,n_informative_pool_subtypes,bootstrap_draws
30,typed_soft_heads,single_soft_mean,0.6959264782932253,0.6208392924877781,0.07508718580544715,-0.03784440670503384,0.17477100576067264,0.1778,21,20000
30,typed_soft_heads,single_mobility,0.6959264782932253,0.7294811311846887,-0.03355465289146342,-0.1504217768229633,0.08420705353857627,0.5693,21,20000
30,typed_soft_heads,collapsed_soft_max,0.6959264782932253,0.5680986711542841,0.12782780713894115,0.032997888069144374,0.2123723677574364,0.0088,21,20000
30,typed_hard_heads,single_hard_mean,0.6486211210926153,0.5633773689466,0.08524375214601532,0.01726741768271873,0.159927144054624,0.0124,21,20000
30,typed_hard_heads,single_mobility,0.6486211210926153,0.7294811311846887,-0.08086001009207344,-0.20749707701667458,0.03419196725970909,0.1787,21,20000
34,typed_soft_heads,single_soft_mean,0.804512721410354,0.6303233107339836,0.1741894106763704,0.11352609074544381,0.23500704899322075,0.0,21,20000
34,typed_soft_heads,single_mobility,0.804512721410354,0.6918629577800609,0.11264976363029311,-0.06717456484616843,0.26963734625441454,0.2133,21,20000
34,typed_soft_heads,collapsed_soft_max,0.804512721410354,0.6351054732278858,0.16940724818246822,0.07457385032269363,0.24789223374584338,0.0007,21,20000
34,typed_hard_heads,single_hard_mean,0.7073225751556611,0.5418985304138645,0.16542404474179662,0.11947520522257757,0.20421238077457818,0.0,21,20000
34,typed_hard_heads,single_mobility,0.7073225751556611,0.6918629577800609,0.015459617375600199,-0.18070634434568053,0.18844231085415103,0.8431,21,20000
