event,offset,score,n_events,n_groups,pair_weighted_auc,mean_event_auc,ci_low,ci_high
loop,-2,loop_hard,57,10,0.7729700854700855,0.7591734656621137,0.7202793782899417,0.8509451447216985
loop,-2,loop_soft,57,10,0.8456196581196581,0.8248762341125603,0.8153844142259414,0.8856995933235982
loop,-2,single_mobility,57,10,0.26175213675213677,0.251941408933153,0.16424664041254794,0.3680637125888589
loop,-2,single_soft_mean,57,10,0.5235042735042735,0.5308803215665961,0.4514398395648678,0.6193263643069286
static,0,single_mobility,114,11,0.9960191082802548,0.9925682261208576,0.9912087221823404,1.0
static,0,single_soft_mean,114,11,0.6779458598726115,0.648990726844336,0.5953572482432535,0.768098604072197
static,0,static_hard,114,11,0.8634554140127388,0.869361601570635,0.818610322891347,0.9122273746095141
static,0,static_soft,114,11,0.9406847133757962,0.9285903180640022,0.910147147758175,0.9703068884972188
