left,right,metric,delta,ci_low,ci_high,p_two_sided,bootstrap_draws,query,budget_per_head,family
double_soft_max_topk,single_soft_mean_topk,trap_precision,-0.0546875,-0.140625,0.03125,0.2535,20000,30,8,soft
double_soft_max_topk,single_soft_mean_topk,trap_recall,-0.03626943005181349,-0.09770114942528735,0.022727272727272763,0.2558,20000,30,8,soft
double_soft_max_topk,single_soft_mean_topk,macro_subtype_recall,0.008111031002162927,-0.05747161583102778,0.0676536743550207,0.7887,20000,30,8,soft
loop_soft_topk,single_mobility_topk_soft,loop_recall,0.07017543859649122,-0.22000000000000003,0.30769230769230765,0.6339,20000,30,8,soft
static_soft_topk,single_mobility_topk_soft,static_recall,0.006849315068493178,-0.08571428571428574,0.09345962482350555,1.0,20000,30,8,soft
double_soft_union,single_mobility_matched_soft,trap_precision,-0.05701754385964908,-0.11659192825112108,0.004424778761061954,0.0763,20000,30,8,soft
double_soft_union,single_mobility_matched_soft,trap_recall,-0.06735751295336789,-0.13793103448275856,0.003461730591159278,0.0665,20000,30,8,soft
double_soft_union,single_mobility_matched_soft,loop_recall,0.05263157894736836,-0.10869565217391308,0.27499999999999997,0.6014,20000,30,8,soft
double_soft_union,single_mobility_matched_soft,static_recall,-0.11643835616438358,-0.23577235772357724,-0.02985074626865669,0.0071,20000,30,8,soft
double_soft_union,single_mobility_matched_soft,macro_subtype_recall,-0.03190338860850761,-0.11111111111111105,0.08116874468436934,0.5103,20000,30,8,soft
double_soft_max_topk,single_mobility_topk_soft,trap_precision,-0.1484375,-0.2734375,-0.0390625,0.0102,20000,30,8,soft
double_soft_max_topk,single_mobility_topk_soft,trap_recall,-0.0984455958549223,-0.17934782608695654,-0.025316455696202556,0.0076,20000,30,8,soft
double_soft_max_topk,single_mobility_topk_soft,macro_subtype_recall,-0.0573780341264119,-0.17014262226629784,0.065503585190312,0.2914,20000,30,8,soft
loop_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,loop_recall,0.03508771929824561,-0.07407407407407407,0.14999999999999997,0.6172,20000,30,8,hard_diagnostic
static_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,static_recall,0.07534246575342463,0.0,0.20731707317073167,0.061,20000,30,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_precision,-0.013452914798206261,-0.06818181818181812,0.036363636363636376,0.6843,20000,30,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_recall,-0.015544041450777202,-0.07619154388212684,0.05263157894736842,0.6916,20000,30,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,loop_recall,0.017543859649122806,-0.09090909090909088,0.19047619047619052,0.8444,20000,30,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,static_recall,-0.013698630136986356,-0.1016988386691776,0.07792207792207789,0.87,20000,30,8,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,macro_subtype_recall,0.0019226147560682527,-0.059197617766618846,0.1022319980609906,0.8941,20000,30,8,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_precision,-0.1171875,-0.1953125,-0.046875,0.0005,20000,30,8,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_recall,-0.07772020725388598,-0.14285714285714285,-0.02970297029702973,0.001,20000,30,8,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,macro_subtype_recall,-0.05287190579187695,-0.12712484187223275,0.024999999999999967,0.1572,20000,30,8,hard_diagnostic
loop_soft_topk,single_soft_mean_topk,loop_recall,0.03508771929824561,-0.11904761904761912,0.20000000000000007,0.7556,20000,30,16,soft
static_soft_topk,single_soft_mean_topk,static_recall,0.12328767123287665,0.05041865667130166,0.24175824175824168,0.0002,20000,30,16,soft
double_soft_union,single_soft_mean_matched,trap_precision,-0.005050505050505083,-0.019753086419753096,0.007731958762886626,0.5984,20000,30,16,soft
