query,budget_per_head,family,selector,mean_selected_per_pool,total_selected,trap_precision,trap_recall,loop_recall,static_recall,macro_subtype_recall
30,4,hard_diagnostic,double_hard_diagnostic_max_matched,7.375,118,0.3220338983050847,0.19689119170984457,0.2631578947368421,0.1643835616438356,0.21377072819033885
30,4,hard_diagnostic,double_hard_diagnostic_max_topk,4.0,64,0.296875,0.09844559585492228,0.15789473684210525,0.0684931506849315,0.11319394376351838
30,4,hard_diagnostic,double_hard_diagnostic_union,7.375,118,0.4406779661016949,0.2694300518134715,0.2631578947368421,0.273972602739726,0.268565248738284
30,4,hard_diagnostic,loop_hard_diagnostic_topk,4.0,64,0.296875,0.09844559585492228,0.15789473684210525,0.0684931506849315,0.11319394376351838
30,4,hard_diagnostic,single_hard_diagnostic_mean_matched,7.375,118,0.4491525423728814,0.27461139896373055,0.22807017543859648,0.2945205479452055,0.261295361691901
30,4,hard_diagnostic,single_hard_diagnostic_mean_topk,4.0,64,0.46875,0.15544041450777202,0.10526315789473684,0.1780821917808219,0.14167267483777937
30,4,hard_diagnostic,single_mobility_matched_hard_diagnostic,7.375,118,0.5,0.30569948186528495,0.22807017543859648,0.3493150684931507,0.2886926219658736
30,4,hard_diagnostic,single_mobility_topk_hard_diagnostic,4.0,64,0.53125,0.17616580310880828,0.14035087719298245,0.2054794520547945,0.17291516462388848
30,4,hard_diagnostic,static_hard_diagnostic_topk,4.0,64,0.5625,0.18652849740932642,0.12280701754385964,0.2191780821917808,0.17099254986782023
30,4,soft,double_soft_max_matched,7.875,126,0.35714285714285715,0.23316062176165803,0.3508771929824561,0.18493150684931506,0.2679043499158856
30,4,soft,double_soft_max_topk,4.0,64,0.3125,0.10362694300518134,0.19298245614035087,0.06164383561643835,0.1273131458783946
30,4,soft,double_soft_union,7.875,126,0.3968253968253968,0.25906735751295334,0.24561403508771928,0.2602739726027397,0.2529440038452295
30,4,soft,loop_soft_topk,4.0,64,0.296875,0.09844559585492228,0.19298245614035087,0.0547945205479452,0.12388848834414803
30,4,soft,single_mobility_matched_soft,7.875,126,0.5,0.32642487046632124,0.2807017543859649,0.363013698630137,0.32185772650805095
