query,component,target,group_macro_auc,within_group_pair_auc,n_informative_groups
30,gate_concentration_delta2_high,loop,0.6146911758406761,0.5668491008600469,10
30,gate_concentration_delta2_high,static,0.39159779122696015,0.3803733031674208,11
30,gate_concentration_delta2_high,trap,0.4759663423442088,0.426027397260274,12
30,gate_concentration_delta2_low,loop,0.3853088241593239,0.4331508991399531,10
30,gate_concentration_delta2_low,static,0.6084022087730397,0.6196266968325792,11
30,gate_concentration_delta2_low,trap,0.5240336576557912,0.5739726027397261,12
30,gate_concentration_w4_low,loop,0.6109150932666031,0.562157935887412,10
30,gate_concentration_w4_low,static,0.755953299191156,0.6804298642533937,11
30,gate_concentration_w4_low,trap,0.6967910500283002,0.6591780821917809,12
30,late_flow_volatility_w4_high,loop,0.4358800326682328,0.5129007036747459,10
30,late_flow_volatility_w4_high,static,0.18622947837151588,0.2335972850678733,11
30,late_flow_volatility_w4_high,trap,0.2984357627455034,0.31232876712328766,12
30,route_acceleration_w4_high,loop,0.4859634830001414,0.5809225957779516,10
30,route_acceleration_w4_high,static,0.1885005252690037,0.24717194570135748,11
30,route_acceleration_w4_high,trap,0.3294071802124851,0.36219178082191783,12
30,route_mobility_w4_low,loop,0.6404887051038003,0.5605942142298671,10
30,route_mobility_w4_low,static,0.8184735572655771,0.7664027149321267,11
30,route_mobility_w4_low,trap,0.7834197936938295,0.7610958904109589,12
30,deep_soft_consensus_delta2_high,loop,0.43075586819939204,0.4472243940578577,10
30,deep_soft_consensus_delta2_high,static,0.6002085026360943,0.5927601809954751,11
30,deep_soft_consensus_delta2_high,trap,0.5634518577025786,0.5638356164383561,12
30,deep_soft_mixture_delta2_high,loop,0.577948715530751,0.5269741985926505,10
30,deep_soft_mixture_delta2_high,static,0.46710358439554245,0.45531674208144796,11
30,deep_soft_mixture_delta2_high,trap,0.5307080858767106,0.47013698630136985,12
30,l15_soft_mixture_now_high,loop,0.5390498332326467,0.4065676309616888,10
30,l15_soft_mixture_now_high,static,0.7327858918761581,0.7115384615384616,11
30,l15_soft_mixture_now_high,trap,0.6713990511890436,0.6317808219178083,12
30,l15_soft_consensus_now_high,loop,0.5175048338682361,0.4284597341673182,10
30,l15_soft_consensus_now_high,static,0.8066814488194858,0.753393665158371,11
30,l15_soft_consensus_now_high,trap,0.6932048969191044,0.6684931506849315,12
30,l15_soft_final_jump_high,loop,0.46071511521384334,0.40265832681782643,10
30,l15_soft_final_jump_high,static,0.5903279474851156,0.6153846153846154,11
30,l15_soft_final_jump_high,trap,0.5584730290053651,0.5589041095890411,12
30,deep_hard_concentration_delta2_high,loop,0.45718234581546763,0.4941360437842064,10
30,deep_hard_concentration_delta2_high,static,0.5112051527698265,0.5271493212669683,11
30,deep_hard_concentration_delta2_high,trap,0.5171786213611398,0.5178082191780822,12
30,deep_hard_occupancy_delta2_high,loop,0.4762706559941539,0.46012509773260357,10
30,deep_hard_occupancy_delta2_high,static,0.5998088321488084,0.5907805429864253,11
30,deep_hard_occupancy_delta2_high,trap,0.5511767000204069,0.5531506849315069,12
30,deep_hard_support_size_delta2_low,loop,0.43004458160980114,0.4937451133698202,10
30,deep_hard_support_size_delta2_low,static,0.4773316730582881,0.5087669683257918,11
30,deep_hard_support_size_delta2_low,trap,0.49190094256796185,0.5057534246575343,12
30,l15_hard_concentration_now_high,loop,0.6162424716829937,0.5187646598905394,10
30,l15_hard_concentration_now_high,static,0.7968716367882869,0.7878959276018099,11
30,l15_hard_concentration_now_high,trap,0.7846293864100301,0.7556164383561644,12
30,l15_hard_occupancy_now_high,loop,0.5702166654052838,0.5074276778733385,10
30,l15_hard_occupancy_now_high,static,0.7136999600339151,0.6996606334841629,11
30,l15_hard_occupancy_now_high,trap,0.6932589128016214,0.6813698630136986,12
30,l15_hard_support_size_now_low,loop,0.6282634568501934,0.5304925723221267,10
30,l15_hard_support_size_now_low,static,0.7515231597264026,0.745475113122172,11
30,l15_hard_support_size_now_low,trap,0.7611803034275032,0.7252054794520548,12
30,l15_hard_final_jump_high,loop,0.4682565330668821,0.48944487881157156,10
30,l15_hard_final_jump_high,static,0.5177183493867319,0.584841628959276,11
30,l15_hard_final_jump_high,trap,0.5291203348346246,0.5671232876712329,12
34,gate_concentration_delta2_high,loop,0.5858173930988906,0.584831899921814,10
34,gate_concentration_delta2_high,static,0.5649415945595814,0.5271493212669683,11
34,gate_concentration_delta2_high,trap,0.6287445071004915,0.5934246575342466,12
34,gate_concentration_delta2_low,loop,0.41418260690110953,0.4151681000781861,10
34,gate_concentration_delta2_low,static,0.4350584054404187,0.47285067873303166,11
34,gate_concentration_delta2_low,trap,0.3712554928995085,0.40657534246575344,12
34,gate_concentration_w4_low,loop,0.34681280068900305,0.3174354964816263,10
34,gate_concentration_w4_low,static,0.7311380575546164,0.7143665158371041,11
34,gate_concentration_w4_low,trap,0.5557909320425346,0.5413698630136986,12
34,late_flow_volatility_w4_high,loop,0.6505584912963822,0.7568412822517592,10
34,late_flow_volatility_w4_high,static,0.09466878415824703,0.1165158371040724,11
34,late_flow_volatility_w4_high,trap,0.34653785353480276,0.36383561643835616,12
34,route_acceleration_w4_high,loop,0.7892230611905864,0.8491008600469117,10
34,route_acceleration_w4_high,static,0.3415823086005851,0.2743212669683258,11
34,route_acceleration_w4_high,trap,0.5476835656989464,0.536986301369863,12
34,route_mobility_w4_low,loop,0.43773954929182557,0.3424550430023456,10
34,route_mobility_w4_low,static,0.9459863662682964,0.9292986425339367,11
34,route_mobility_w4_low,trap,0.764484751415342,0.7616438356164383,12
34,deep_soft_consensus_delta2_high,loop,0.4249195290019244,0.4698983580922596,10
34,deep_soft_consensus_delta2_high,static,0.3398940933589202,0.3993212669683258,11
34,deep_soft_consensus_delta2_high,trap,0.35022961436285277,0.3852054794520548,12
34,deep_soft_mixture_delta2_high,loop,0.5865368234234377,0.5832681782642689,10
34,deep_soft_mixture_delta2_high,static,0.5377592039050845,0.5175339366515838,11
34,deep_soft_mixture_delta2_high,trap,0.6095403650068152,0.583013698630137,12
34,l15_soft_mixture_now_high,loop,0.6318183627919527,0.5660672400312744,10
34,l15_soft_mixture_now_high,static,0.8369654114068983,0.8156108597285068,11
34,l15_soft_mixture_now_high,trap,0.8288625580737855,0.838904109589041,12
34,l15_soft_consensus_now_high,loop,0.46991855486770173,0.36512900703674744,10
34,l15_soft_consensus_now_high,static,0.9110357236383732,0.8987556561085973,11
34,l15_soft_consensus_now_high,trap,0.7715220160974442,0.7545205479452055,12
34,l15_soft_final_jump_high,loop,0.5687047153655886,0.5324472243940579,10
34,l15_soft_final_jump_high,static,0.7745410758868743,0.7867647058823529,11
34,l15_soft_final_jump_high,trap,0.7546105373505045,0.8010958904109589,12
34,deep_hard_concentration_delta2_high,loop,0.39394409376556616,0.46677091477716964,10
34,deep_hard_concentration_delta2_high,static,0.41773382267023784,0.4994343891402715,11
34,deep_hard_concentration_delta2_high,trap,0.43844054964401097,0.4915068493150685,12
34,deep_hard_occupancy_delta2_high,loop,0.46118394149555203,0.5289288506645817,10
34,deep_hard_occupancy_delta2_high,static,0.36055906024106804,0.41091628959276016,11
34,deep_hard_occupancy_delta2_high,trap,0.4110650680019549,0.4484931506849315,12
34,deep_hard_support_size_delta2_low,loop,0.378842379485813,0.43471462079749806,10
34,deep_hard_support_size_delta2_low,static,0.43590243420342206,0.48925339366515835,11
34,deep_hard_support_size_delta2_low,trap,0.41490683127415684,0.4572602739726027,12
34,l15_hard_concentration_now_high,loop,0.582318931893582,0.47068021892103207,10
34,l15_hard_concentration_now_high,static,0.754693746769918,0.7779977375565611,11
34,l15_hard_concentration_now_high,trap,0.7532645651670848,0.7334246575342466,12
34,l15_hard_occupancy_now_high,loop,0.6096847135289052,0.5598123534010946,10
34,l15_hard_occupancy_now_high,static,0.6932289831744358,0.693156108597285,11
34,l15_hard_occupancy_now_high,trap,0.7170824382042041,0.7095890410958904,12
34,l15_hard_support_size_now_low,loop,0.5734653384681399,0.48553557466770914,10
34,l15_hard_support_size_now_low,static,0.6935372271528648,0.7248303167420814,11
34,l15_hard_support_size_now_low,trap,0.713797240763535,0.6986301369863014,12
34,l15_hard_final_jump_high,loop,0.399678827324966,0.42376856919468336,10
34,l15_hard_final_jump_high,static,0.509667261658266,0.5441176470588235,11
34,l15_hard_final_jump_high,trap,0.4754771015800891,0.4876712328767123,12
