query,score,target,group_macro_auc,within_group_pair_auc,n_informative_groups,n_positive_in_informative_groups,n_negative_in_informative_groups
30,loop_soft,loop,0.562850830489199,0.5645035183737295,10,57,263
30,loop_soft,static,0.3322342211969968,0.31278280542986425,11,114,238
30,loop_soft,trap,0.44508467908735616,0.39452054794520547,12,161,223
30,static_soft,loop,0.5249860138398466,0.42376856919468336,10,57,263
30,static_soft,static,0.8290021260972513,0.7845022624434389,11,114,238
30,static_soft,trap,0.7339860600867691,0.701917808219178,12,161,223
30,double_soft_max,loop,0.6318434527573563,0.5844409695074276,10,57,263
30,double_soft_max,static,0.504353889551212,0.44202488687782804,11,114,238
30,double_soft_max,trap,0.5447233991803587,0.4978082191780822,12,161,223
30,single_soft_mean,loop,0.603690602880665,0.5058639562157936,10,57,263
30,single_soft_mean,static,0.6379879820948913,0.5726809954751131,11,114,238
30,single_soft_mean,trap,0.6436819603280971,0.5761643835616438,12,161,223
30,single_mobility,loop,0.6404887051038003,0.5605942142298671,10,57,263
30,single_mobility,static,0.8184735572655771,0.7664027149321267,11,114,238
30,single_mobility,trap,0.7834197936938295,0.7610958904109589,12,161,223
30,loop_hard,loop,0.4840375114121679,0.5172009382329945,10,57,263
30,loop_hard,static,0.34397273990100957,0.3495475113122172,11,114,238
30,loop_hard,trap,0.40507221616561023,0.3865753424657534,12,161,223
30,static_hard,loop,0.6048542752817212,0.5234558248631743,10,57,263
30,static_hard,static,0.8132047307730627,0.7921380090497737,11,114,238
30,static_hard,trap,0.7802171455237112,0.7589041095890411,12,161,223
30,double_hard_max,loop,0.578729365846608,0.5351837372947615,10,57,263
30,double_hard_max,static,0.47248082714033773,0.4555995475113122,11,114,238
30,double_hard_max,trap,0.520584386012524,0.48547945205479454,12,161,223
30,single_hard_mean,loop,0.5284127074373283,0.5222830336200156,10,57,263
30,single_hard_mean,static,0.5983420304558715,0.6020927601809954,11,114,238
30,single_hard_mean,trap,0.6208994799494332,0.6063013698630138,12,161,223
34,loop_soft,loop,0.673092696358171,0.753322908522283,10,57,263
34,loop_soft,static,0.24273125807383822,0.24123303167420815,11,114,238
34,loop_soft,trap,0.4607833255839457,0.45643835616438355,12,161,223
34,static_soft,loop,0.4857123909626487,0.3835027365129007,10,57,263
34,static_soft,static,0.9359327464625372,0.9273190045248869,11,114,238
34,static_soft,trap,0.7943246885079663,0.7983561643835616,12,161,223
34,double_soft_max,loop,0.7218990510230879,0.7494136043784206,10,57,263
34,double_soft_max,static,0.5483118954326837,0.4861425339366516,11,114,238
34,double_soft_max,trap,0.6567474288113039,0.6515068493150685,12,161,223
34,single_soft_mean,loop,0.6324150669577472,0.6548084440969507,10,57,263
34,single_soft_mean,static,0.62823155451022,0.6405542986425339,11,114,238
34,single_soft_mean,trap,0.7046530174629556,0.7452054794520548,12,161,223
34,single_mobility,loop,0.43773954929182557,0.3424550430023456,10,57,263
34,single_mobility,static,0.9459863662682964,0.9292986425339367,11,114,238
34,single_mobility,trap,0.764484751415342,0.7616438356164383,12,161,223
34,loop_hard,loop,0.6553494004797128,0.7298670836591087,10,57,263
34,loop_hard,static,0.2795095863757636,0.2949660633484163,11,114,238
34,loop_hard,trap,0.4777481774604402,0.48575342465753424,12,161,223
34,static_hard,loop,0.4889740289158352,0.40070367474589524,10,57,263
34,static_hard,static,0.7592957498316099,0.7833710407239819,11,114,238
34,static_hard,trap,0.6840921409770978,0.675068493150685,12,161,223
34,double_hard_max,loop,0.6465777470530608,0.6864738076622361,10,57,263
34,double_hard_max,static,0.39852789639356523,0.416289592760181,11,114,238
34,double_hard_max,trap,0.5491700666874721,0.5583561643835616,12,161,223
34,single_hard_mean,loop,0.5902322032468479,0.6086786551993745,10,57,263
34,single_hard_mean,static,0.49356485758088103,0.5378959276018099,11,114,238
34,single_hard_mean,trap,0.595469914897765,0.6147945205479453,12,161,223
