event,offset,score,episode_id,group,query,wins,n_controls,event_auc
loop,-2,loop_soft,9,0,33,28.0,28,1.0
loop,-2,loop_hard,9,0,33,27.0,28,0.9642857142857143
loop,-2,single_soft_mean,9,0,33,20.0,28,0.7142857142857143
loop,-2,single_mobility,9,0,33,12.0,28,0.42857142857142855
loop,-2,loop_soft,17,0,31,22.0,28,0.7857142857142857
loop,-2,loop_hard,17,0,31,27.0,28,0.9642857142857143
loop,-2,single_soft_mean,17,0,31,4.0,28,0.14285714285714285
loop,-2,single_mobility,17,0,31,9.0,28,0.32142857142857145
loop,-2,loop_soft,28,0,31,28.0,28,1.0
loop,-2,loop_hard,28,0,31,27.0,28,0.9642857142857143
loop,-2,single_soft_mean,28,0,31,13.0,28,0.4642857142857143
loop,-2,single_mobility,28,0,31,12.0,28,0.42857142857142855
loop,-2,loop_soft,30,0,31,28.0,28,1.0
loop,-2,loop_hard,30,0,31,28.0,28,1.0
loop,-2,single_soft_mean,30,0,31,11.0,28,0.39285714285714285
loop,-2,single_mobility,30,0,31,12.0,28,0.42857142857142855
loop,-2,loop_soft,40,3,43,4.0,18,0.2222222222222222
loop,-2,loop_hard,40,3,43,5.0,18,0.2777777777777778
loop,-2,single_soft_mean,40,3,43,0.0,18,0.0
loop,-2,single_mobility,40,3,43,2.0,18,0.1111111111111111
loop,-2,loop_soft,43,3,41,17.0,18,0.9444444444444444
loop,-2,loop_hard,43,3,41,16.0,18,0.8888888888888888
loop,-2,single_soft_mean,43,3,41,13.0,18,0.7222222222222222
loop,-2,single_mobility,43,3,41,3.0,18,0.16666666666666666
loop,-2,loop_soft,44,3,47,18.0,18,1.0
loop,-2,loop_hard,44,3,47,8.0,18,0.4444444444444444
loop,-2,single_soft_mean,44,3,47,17.0,18,0.9444444444444444
loop,-2,single_mobility,44,3,47,0.0,18,0.0
loop,-2,loop_soft,46,3,40,18.0,18,1.0
loop,-2,loop_hard,46,3,40,17.0,18,0.9444444444444444
loop,-2,single_soft_mean,46,3,40,4.0,18,0.2222222222222222
loop,-2,single_mobility,46,3,40,2.0,18,0.1111111111111111
loop,-2,loop_soft,48,3,42,12.0,18,0.6666666666666666
loop,-2,loop_hard,48,3,42,8.0,18,0.4444444444444444
loop,-2,single_soft_mean,48,3,42,6.0,18,0.3333333333333333
loop,-2,single_mobility,48,3,42,0.0,18,0.0
loop,-2,loop_soft,50,3,43,16.0,18,0.8888888888888888
loop,-2,loop_hard,50,3,43,16.0,18,0.8888888888888888
loop,-2,single_soft_mean,50,3,43,1.0,18,0.05555555555555555
loop,-2,single_mobility,50,3,43,1.0,18,0.05555555555555555
loop,-2,loop_soft,54,3,47,15.5,18,0.8611111111111112
loop,-2,loop_hard,54,3,47,14.0,18,0.7777777777777778
loop,-2,single_soft_mean,54,3,47,17.0,18,0.9444444444444444
loop,-2,single_mobility,54,3,47,1.0,18,0.05555555555555555
loop,-2,loop_soft,55,3,47,18.0,18,1.0
loop,-2,loop_hard,55,3,47,17.5,18,0.9722222222222222
loop,-2,single_soft_mean,55,3,47,6.0,18,0.3333333333333333
loop,-2,single_mobility,55,3,47,1.0,18,0.05555555555555555
loop,-2,loop_soft,56,3,45,16.0,18,0.8888888888888888
loop,-2,loop_hard,56,3,45,18.0,18,1.0
loop,-2,single_soft_mean,56,3,45,13.0,18,0.7222222222222222
loop,-2,single_mobility,56,3,45,3.0,18,0.16666666666666666
loop,-2,loop_soft,62,3,43,10.5,18,0.5833333333333334
loop,-2,loop_hard,62,3,43,11.5,18,0.6388888888888888
loop,-2,single_soft_mean,62,3,43,0.0,18,0.0
loop,-2,single_mobility,62,3,43,0.0,18,0.0
loop,-2,loop_soft,66,7,44,2.0,2,1.0
loop,-2,loop_hard,66,7,44,2.0,2,1.0
loop,-2,single_soft_mean,66,7,44,2.0,2,1.0
loop,-2,single_mobility,66,7,44,0.0,2,0.0
loop,-2,loop_soft,69,7,42,3.0,3,1.0
loop,-2,loop_hard,69,7,42,2.0,3,0.6666666666666666
loop,-2,single_soft_mean,69,7,42,3.0,3,1.0
loop,-2,single_mobility,69,7,42,2.0,3,0.6666666666666666
loop,-2,loop_soft,74,7,43,2.5,3,0.8333333333333334
