candidate,snapshots,failures,failure_rate,deviation_from_overall
0,12,8,0.6666667,-0.010416627
1,12,7,0.5833333,-0.09375
2,12,9,0.75,0.07291669
3,12,7,0.5833333,-0.09375
4,12,6,0.5,-0.17708331
5,12,9,0.75,0.07291669
6,12,9,0.75,0.07291669
7,12,7,0.5833333,-0.09375
8,12,7,0.5833333,-0.09375
9,12,9,0.75,0.07291669
10,12,8,0.6666667,-0.010416627
11,12,9,0.75,0.07291669
12,12,7,0.5833333,-0.09375
13,12,10,0.8333333,0.15625
14,12,9,0.75,0.07291669
15,12,9,0.75,0.07291669
