prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
1,state,front_2_5,0,consensus_distance,0.59375,0.28125,0.3125,0.1875,0.46875,0.001996007984031936,0.043912175648702596,32,32
1,state,front_2_5,1,top1_mass,0.625,0.3125,0.3125,0.1875,0.46875,0.001996007984031936,0.043912175648702596,32,32
1,state,front_2_5,0,top1_mass,0.65625,0.375,0.28125,0.15625,0.4375,0.003992015968063872,0.17764471057884232,32,32
1,state,front_2_5,8,entropy,0.625,0.34375,0.28125,0.09375,0.46875,0.003992015968063872,0.17764471057884232,32,32
1,state,front_2_5,1,consensus_distance,0.59375,0.34375,0.25,0.09375,0.4375,0.005988023952095809,0.40119760479041916,32,32
1,state,front_2_5,7,entropy,0.625,0.375,0.25,0.0625,0.375,0.00998003992015968,0.40119760479041916,32,32
1,state,front_2_5,3,top1_mass,0.625,0.375,0.25,0.03125,0.46875,0.011976047904191617,0.40119760479041916,32,32
1,state,front_2_5,4,consensus_distance,0.625,0.40625,0.21875,0.0,0.40625,0.013972055888223553,0.7085828343313373,32,32
1,state,front_2_5,2,top1_mass,0.625,0.40625,0.21875,0.03125,0.40625,0.017964071856287425,0.7085828343313373,32,32
1,state,front_2_5,5,top1_mass,0.59375,0.375,0.21875,0.09375,0.375,0.01996007984031936,0.7085828343313373,32,32
1,state,front_2_5,7,consensus_distance,0.59375,0.375,0.21875,0.03125,0.375,0.027944111776447105,0.7085828343313373,32,32
1,state,front_2_5,4,entropy,0.59375,0.375,0.21875,0.0625,0.375,0.031936127744510975,0.7085828343313373,32,32
1,action,back_12_15,0,entropy,0.4375,0.625,-0.1875,-0.3125,-0.09375,0.05389221556886228,0.9441117764471058,32,32
1,state,front_2_5,6,top1_mass,0.59375,0.40625,0.1875,0.0625,0.3125,0.05389221556886228,0.9441117764471058,32,32
1,state,front_2_5,9,entropy,0.65625,0.46875,0.1875,0.03125,0.3125,0.05389221556886228,0.9441117764471058,32,32
1,state,front_2_5,0,entropy,0.625,0.4375,0.1875,-0.016406249999999956,0.40625,0.05588822355289421,0.9441117764471058,32,32
1,action,front_2_5,7,top1_mass,0.59375,0.40625,0.1875,0.0625,0.34375,0.05788423153692615,0.9441117764471058,32,32
1,state,front_2_5,4,top1_mass,0.625,0.4375,0.1875,0.0,0.34375,0.059880239520958084,0.9441117764471058,32,32
1,state,back_12_15,7,entropy,0.5625,0.375,0.1875,-0.0625,0.4851562499999993,0.0658682634730539,0.9441117764471058,32,32
1,action,front_2_5,9,token_dispersion,0.625,0.46875,0.15625,-0.03125,0.375,0.09181636726546906,1.0,32,32
1,action,front_2_5,9,consensus_distance,0.5625,0.40625,0.15625,0.0625,0.2351562499999993,0.09381237524950099,1.0,32,32
1,action,back_12_15,8,consensus_distance,0.65625,0.5,0.15625,0.0,0.3125,0.09580838323353294,1.0,32,32
1,state,front_2_5,1,entropy,0.625,0.46875,0.15625,-0.03125,0.34375,0.09580838323353294,1.0,32,32
1,action,front_2_5,8,consensus_distance,0.625,0.46875,0.15625,0.0625,0.21875,0.09780439121756487,1.0,32,32
