token,denoise,auc_entropy,auc_top1
SENTINEL_onset_query,-2,0.974671669793621,0.974671669793621
state,-1,0.0,1.0
action,0,0.05628517823639775,0.946633312486971
action,1,0.03575151136126746,0.9589326662497394
action,2,0.033041484260996457,0.978319783197832
action,3,0.02626641651031895,0.980195955805712
action,4,0.027412966437356683,0.9832186783406296
action,5,0.027517198248905566,0.9814467375442986
action,6,0.03335417969564311,0.978319783197832
action,7,0.03293725244944757,0.9718574108818011
action,8,0.03491765686887638,0.9553887846570773
action,9,0.03335417969564311,0.9841567646445695
