task,family,threshold,label,n_events,event_rate,n_Y0,n_Y1,n_clusters,n_mixed_clusters,n_in_mixed,n_Y0_in_mixed,n_Y1_in_mixed,setback_fraction,onset_med_Y0,onset_med_Y1,lead_med_Y0,lead_med_Y1,sentinel_auc_onset,passes_gate
long/SCENE8,push_ungrasped,0.01,Y_terminal,512,1.0,296,216,16,13,416,232,184,0.002,19.0,19.0,19.0,32.0,0.461,False
long/SCENE8,push_ungrasped,0.02,Y_terminal,496,0.9688,292,204,16,13,406,228,178,0.002,19.0,19.0,19.0,32.0,0.467,False
long/SCENE8,heightloss,0.02,Y_terminal,267,0.5215,169,98,15,11,223,125,98,0.0,18.0,18.0,20.0,33.0,0.599,False
long/SCENE8,push_ungrasped,0.01,Y_local_h4,512,1.0,508,4,16,4,128,124,4,0.002,19.0,20.5,21.0,23.5,0.717,False
long/SCENE8,push_ungrasped,0.01,Y_local_h8,512,1.0,508,4,16,4,128,124,4,0.002,19.0,20.5,21.0,23.5,0.717,False
long/SCENE8,heightloss,0.03,Y_terminal,143,0.2793,79,64,12,8,123,69,54,0.0,18.0,18.0,20.0,33.0,0.591,False
spatial/stove,heightloss,0.02,Y_terminal,267,0.5215,259,8,16,7,82,74,8,0.0,10.0,8.5,2.0,12.5,0.218,False
spatial/stove,heightloss,0.03,Y_terminal,205,0.4004,197,8,16,7,64,56,8,0.0,10.0,8.5,1.0,12.5,0.207,False
long/SCENE8,push_ungrasped,0.02,Y_local_h4,491,0.959,489,2,16,2,63,61,2,0.002,19.0,20.0,21.0,31.0,0.762,False
long/SCENE8,push_ungrasped,0.02,Y_local_h8,491,0.959,489,2,16,2,63,61,2,0.002,19.0,20.0,21.0,31.0,0.762,False
goal/top_drawer,push_ungrasped,0.01,Y_terminal,358,0.6992,339,19,16,2,37,18,19,0.022,18.0,18.0,0.0,11.0,0.436,False
goal/top_drawer,push_ungrasped,0.02,Y_terminal,355,0.6934,339,16,16,2,34,18,16,0.017,18.0,18.0,0.0,11.0,0.432,False
long/SCENE8,grasp_fail,0.1,Y_local_h4,49,0.0957,15,34,8,4,34,14,20,0.531,35.0,36.0,16.0,15.0,0.481,False
long/SCENE8,grasp_fail,0.1,Y_local_h8,46,0.0898,14,32,8,3,31,13,18,0.522,34.5,35.5,16.5,15.5,0.482,False
goal/top_drawer,goal_regression,0.01,Y_local_h4,43,0.084,4,39,8,2,27,2,25,1.0,13.5,16.0,5.0,13.0,0.84,False
spatial/stove,heightloss,0.05,Y_terminal,53,0.1035,46,7,14,4,26,22,4,0.0,10.0,8.0,1.0,13.0,0.126,False
goal/top_drawer,goal_regression,0.01,Y_local_h8,40,0.0781,1,39,7,1,25,1,24,1.0,17.0,16.0,12.0,13.0,0.449,False
goal/top_drawer,goal_regression,0.02,Y_local_h4,40,0.0781,1,39,7,1,25,1,24,1.0,19.0,16.0,10.0,13.0,0.128,False
goal/top_drawer,goal_regression,0.02,Y_local_h8,40,0.0781,1,39,7,1,25,1,24,1.0,19.0,16.0,10.0,13.0,0.128,False
long/SCENE8,goal_regression,0.01,Y_local_h4,36,0.0703,14,22,12,6,25,9,16,1.0,41.5,40.0,5.0,11.0,0.378,False
spatial/ramekin,push_ungrasped,0.01,Y_terminal,58,0.1133,50,8,13,6,22,14,8,0.086,9.0,10.5,0.0,10.5,0.826,False
long/SCENE8,goal_regression,0.01,Y_terminal,47,0.0918,9,38,13,4,18,7,11,1.0,35.0,46.0,7.0,5.0,0.889,False
spatial/ramekin,goal_regression,0.01,Y_terminal,45,0.0879,41,4,9,3,18,15,3,1.0,4.0,4.0,4.0,17.0,0.463,False
goal/top_drawer,push_ungrasped,0.01,Y_local_h4,19,0.0371,1,18,2,1,18,1,17,0.263,18.0,18.0,11.0,11.0,0.306,False
goal/top_drawer,push_ungrasped,0.01,Y_local_h8,19,0.0371,1,18,2,1,18,1,17,0.263,18.0,18.0,11.0,11.0,0.306,False
spatial/stove,grasp_fail,0.1,Y_local_h4,29,0.0566,13,16,6,2,17,12,5,0.0,7.0,7.0,14.0,14.0,0.466,False
spatial/stove,grasp_fail,0.1,Y_local_h8,29,0.0566,13,16,6,2,17,12,5,0.0,7.0,7.0,14.0,14.0,0.466,False
goal/top_drawer,release_offgoal,0.0,Y_local_h4,17,0.0332,1,16,1,1,17,1,16,0.176,18.0,18.0,11.0,11.0,0.375,False
goal/top_drawer,release_offgoal,0.0,Y_local_h8,16,0.0312,1,15,1,1,16,1,15,0.125,18.0,18.0,11.0,11.0,0.333,False
spatial/ramekin,push_ungrasped,0.02,Y_terminal,49,0.0957,45,4,13,4,15,11,4,0.082,9.0,10.0,0.0,11.0,0.733,False
long/SCENE8,grasp_fail,0.08,Y_local_h4,13,0.0254,6,7,5,3,11,4,7,0.385,37.0,33.0,7.0,18.0,0.524,False
long/SCENE8,drop_separation,0.01,Y_terminal,14,0.0273,9,5,6,3,10,6,4,0.0,18.0,34.0,21.0,17.0,0.589,False
long/SCENE8,drop_separation,0.02,Y_terminal,14,0.0273,9,5,6,3,10,6,4,0.0,18.0,34.0,21.0,17.0,0.589,False
long/SCENE8,grasp_fail,0.08,Y_local_h8,10,0.0195,3,7,3,3,10,3,7,0.2,32.0,33.0,19.0,18.0,0.714,False
goal/top_drawer,goal_regression,0.01,Y_terminal,45,0.0879,4,41,8,2,8,2,6,1.0,13.5,17.0,4.5,12.0,0.957,False
long/SCENE8,goal_regression,0.01,Y_local_h8,20,0.0391,5,15,7,2,8,4,4,1.0,41.0,38.0,10.0,13.0,0.347,False
long/SCENE8,drop_separation,0.03,Y_terminal,11,0.0215,6,5,5,2,8,5,3,0.0,17.0,34.0,21.0,17.0,0.717,False
spatial/stove,grasp_fail,0.05,Y_terminal,28,0.0547,19,9,5,1,7,5,2,0.0,4.0,6.0,7.0,15.0,0.921,False
spatial/stove,grasp_fail,0.05,Y_local_h4,28,0.0547,19,9,5,1,7,5,2,0.0,4.0,6.0,7.0,15.0,0.921,False
spatial/ramekin,push_ungrasped,0.01,Y_local_h4,11,0.0215,7,4,6,3,7,4,3,0.273,10.0,11.0,11.0,10.0,0.821,False
spatial/stove,push_ungrasped,0.01,Y_terminal,28,0.0547,26,2,11,1,6,4,2,0.0,12.0,13.0,0.0,8.0,0.865,False
spatial/stove,push_ungrasped,0.02,Y_terminal,28,0.0547,26,2,11,1,6,4,2,0.0,12.0,13.0,0.0,8.0,0.865,False
long/SCENE8,liftloss,0.0,Y_local_h4,10,0.0195,3,7,6,2,6,2,4,0.7,34.0,41.0,17.0,10.0,0.857,False
long/SCENE8,liftloss,0.01,Y_local_h4,10,0.0195,3,7,6,2,6,2,4,0.7,34.0,41.0,17.0,10.0,0.857,False
