signal,class,window,n_matched_inits,effect_sd,ci_lo,ci_hi,separated
action_denoise_span,active_return,lead_-6_-2,8,0.22538917939441042,-0.10215597012088883,0.5646852802910426,False
action_denoise_span,active_return,sync_-1_+1,8,-0.7736113410603951,-1.5020400938500673,-0.07543816334067034,True
action_denoise_span,active_return,after_+2_+6,8,-0.19692139514129084,-0.6157634875599861,0.246336425123279,False
action_denoise_span,stagnation_core,lead_-6_-2,10,0.09841352113597134,-0.15382646501716293,0.3672051416691515,False
action_denoise_span,stagnation_core,sync_-1_+1,10,-0.1739059448878069,-0.40761699672207685,0.06105106741074781,False
action_denoise_span,stagnation_core,after_+2_+6,10,0.084932139761767,-0.09441091378270428,0.23713080845764908,False
state_action_overlap,active_return,lead_-6_-2,8,-0.28143930453392296,-0.5069736579326113,-0.03292422000792975,True
state_action_overlap,active_return,sync_-1_+1,8,-0.26075884566451435,-0.8031395781730869,0.216955351238789,False
state_action_overlap,active_return,after_+2_+6,8,-0.9041878861826461,-1.550691063540734,-0.3038615369900878,True
state_action_overlap,stagnation_core,lead_-6_-2,10,0.4124111046894908,0.05042108398491038,0.8478479054453731,True
state_action_overlap,stagnation_core,sync_-1_+1,10,0.5355125026057531,0.24726721976990904,0.8583725339922509,True
state_action_overlap,stagnation_core,after_+2_+6,10,0.31667829477011167,0.11232781894087493,0.545783361331377,True
