signal,mean_within_init_spearman,ci95_low,ci95_high,bootstrap_sd,tasks,initial_states,candidate_pairs,uncertainty_scope
action_route_action_distance_rho,0.17458029334363956,0.16720625346654708,0.18238873133719227,0.003870796627394442,5,80,39680,direct_cluster_resampling
hidden_action_distance_rho,0.2775343065234024,0.2646914685817741,0.2904083992284596,0.006568770007309441,5,80,39680,direct_cluster_resampling
