endpoint,model,metric,estimate,ci95_low,ci95_high,bootstrap_sd,tasks,initial_states,candidates,uncertainty_scope
action_chunk,action_soft_route,pairwise,0.5684761894927728,0.5609191325248656,0.5753027524260913,0.0036625326303417307,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,hidden_upper,pairwise,0.7078402723280052,0.69688009954276,0.7185113238386821,0.005574595018768103,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,seed_plus_route,pairwise,0.8908142894512725,0.8810943277271153,0.8993356627423389,0.004694561492927963,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,seed_sentinel,pairwise,0.3825991444758482,0.36257342807455684,0.40320098133399607,0.010322380224135997,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,state_route_control,pairwise,,,,,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,action_soft_route,r2,0.6046513983668997,0.5976020481441332,0.6102213729520811,0.0032522058805385784,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,hidden_upper,r2,0.5742433042366029,0.5638593377447816,0.5838040395425218,0.005024316731479686,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,seed_plus_route,r2,0.8892912605968073,0.879955970047828,0.8965507725195674,0.004252157848764431,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,seed_sentinel,r2,0.48210821872710985,0.47227122020170065,0.4915762845618143,0.004910225926476708,5,80,2560,fixed_oof_table_cluster_resampling
action_chunk,state_route_control,r2,8.512990623543714e-09,-3.668516218580103e-10,1.757861175122333e-08,4.5938233879456926e-09,5,80,2560,fixed_oof_table_cluster_resampling
eef_delta_0p5s,action,r2,0.9985174488947177,0.9980950977728901,0.9988201665010891,0.0001925322116072789,5,80,2560,fixed_oof_table_cluster_resampling
eef_delta_0p5s,action_plus_route,r2,0.9981483791592465,0.9976388216268741,0.9984962890427708,0.00022836568133134745,5,80,2560,fixed_oof_table_cluster_resampling
eef_delta_0p5s,action_soft_route,r2,0.6260587201342575,0.620286539449265,0.6311974048660924,0.002791200184307566,5,80,2560,fixed_oof_table_cluster_resampling
eef_delta_0p5s,hidden_upper,r2,0.826708157132129,0.8176490829177231,0.8352806155013873,0.004529053290413915,5,80,2560,fixed_oof_table_cluster_resampling
eef_delta_0p5s,seed_plus_route,r2,0.9350399694910569,0.9282688756160978,0.9406727398689697,0.0031609872718577872,5,80,2560,fixed_oof_table_cluster_resampling
eef_delta_0p5s,seed_sentinel,r2,0.5106072733856897,0.4939913608882633,0.527685375539944,0.008590058468232822,5,80,2560,fixed_oof_table_cluster_resampling
eef_delta_0p5s,state_route_control,r2,1.1881348416231673e-08,3.255555429126922e-09,2.036930195736809e-08,4.454902688411703e-09,5,80,2560,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,action,r2,0.9941045848204353,0.9923104882328724,0.995565917637697,0.0008429520720044559,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,action_plus_route,r2,0.9938283410130371,0.9920398093567157,0.9953785021786766,0.0008639765454852099,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,action_soft_route,r2,0.6470330629744405,0.6352892093612201,0.6582726570122505,0.005842262882156406,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,hidden_upper,r2,0.8358900585321808,0.8202229600747897,0.8504087150162546,0.007710349391194645,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,seed_plus_route,r2,0.9315522558496129,0.9184292269648675,0.9423960928056971,0.006050366500335213,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,seed_sentinel,r2,0.5223075026827966,0.48746671818757903,0.5576667604524025,0.01784929583594179,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,state_route_control,r2,4.118158924981685e-09,-7.621364965978058e-09,1.5469242729363824e-08,5.784102421061533e-09,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,action,rank,0.9940642549886517,0.9928822626466275,0.9951219560705494,0.0005709900319718266,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,action_plus_route,rank,0.9942399025937347,0.9929318038261112,0.9953243834013253,0.0006102348756930805,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,action_soft_route,rank,0.7838249939675158,0.7770563256106134,0.7901853082233625,0.0033540147334954577,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,hidden_upper,rank,0.9045144111131987,0.8954917376711675,0.913388484180921,0.004564272508398882,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,seed_plus_route,rank,0.9642652303454189,0.9592149517709944,0.9688666170958032,0.0024578289130448823,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,seed_sentinel,rank,0.7166667820891494,0.694385386119257,0.7398431095242326,0.011668735869934346,3,48,1536,fixed_oof_table_cluster_resampling
eef_target_approach_0p5s,state_route_control,rank,,,,,3,48,1536,fixed_oof_table_cluster_resampling
final_success_mixed_pools,action,auc,0.33340800905941403,0.27641037494659754,0.38940016737004357,0.028601711938409657,4,40,1280,fixed_oof_table_cluster_resampling
final_success_mixed_pools,action_plus_route,auc,0.36319173223602885,0.2981218401636061,0.4264945547372075,0.032341891388250985,4,40,1280,fixed_oof_table_cluster_resampling
