fold,suite,seed,reference_cap,method,view,scope,task,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.9982638888888888,0.9861111111111112,0.9982638888888888,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.999550536546997,0.9968879317674222,0.999550536546997,0.9916666666666667,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,0.6835443037974683,0.038461538461538464,0.6835443037974683,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,0.5064935064935064,0.04893148962916405,0.5064935064935064,0.26666666666666666,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.1111111111111111,0.06253678796434844,0.1111111111111111,0.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.582785549749986,0.14384785174657305,0.582785549749986,0.45174603174603173,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,0.30497382198952877,0.03140248062780858,0.30497382198952877,0.4443877551020408,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.3878942881500426,0.0197811203310476,0.3878942881500426,0.45396825396825397,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.9982638888888888,0.9861111111111112,0.9982638888888888,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.999550536546997,0.9968879317674222,0.999550536546997,0.9916666666666667,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,1.0,1.0,1.0,1.0,1.0,1
