fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,560,12,548,8,17,0.6666666666666666,0.03102189781021898,0.32,0.8178223844282237,0.8222222222222223,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,unseen,1200,78,1122,62,2,0.7948717948717948,0.0017825311942959,0.96875,0.8965446318387494,0.8162393162393161,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.1,seen,560,12,548,10,33,0.8333333333333334,0.060218978102189784,0.23255813953488372,0.8865571776155718,0.7638888888888888,20.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.1,unseen,1200,78,1122,71,2,0.9102564102564102,0.0017825311942959,0.9726027397260274,0.9542369395310571,0.7696581196581196,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.15,seen,560,12,548,10,92,0.8333333333333334,0.1678832116788321,0.09803921568627451,0.8327250608272507,0.7444444444444445,20.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.15,unseen,1200,78,1122,78,44,1.0,0.0392156862745098,0.639344262295082,0.9803921568627451,0.6606837606837607,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.2,seen,560,12,548,10,113,0.8333333333333334,0.2062043795620438,0.08130081300813008,0.8135644768856448,0.7333333333333334,19.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.2,unseen,1200,78,1122,78,93,1.0,0.08288770053475936,0.45614035087719296,0.9585561497326203,0.5858974358974359,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.01,seen,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.01,unseen,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
