fold,suite,seed,method,budget,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.01,unseen,1200,78,1122,62,6,0.7948717948717948,0.0053475935828877,0.9117647058823529,0.8947621006444535,0.7256410256410257,19.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.01,seen,560,12,548,8,6,0.6666666666666666,0.010948905109489052,0.5714285714285714,0.8278588807785887,0.9222222222222222,26.5
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.03,unseen,1200,78,1122,77,24,0.9871794871794872,0.0213903743315508,0.7623762376237624,0.9828945564239682,0.6363247863247865,18.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.03,seen,560,12,548,10,32,0.8333333333333334,0.058394160583941604,0.23809523809523808,0.887469586374696,0.7750000000000002,23.5
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.05,unseen,1200,78,1122,78,45,1.0,0.040106951871657755,0.6341463414634146,0.9799465240641712,0.6235042735042737,18.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.05,seen,560,12,548,10,46,0.8333333333333334,0.08394160583941605,0.17857142857142858,0.8746958637469587,0.7722222222222223,23.5
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.1,unseen,1200,78,1122,78,63,1.0,0.05614973262032086,0.5531914893617021,0.9719251336898396,0.5987179487179487,18.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.1,seen,560,12,548,11,72,0.9166666666666666,0.13138686131386862,0.13253012048192772,0.8926399026763989,0.7361111111111112,25.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.15,unseen,1200,78,1122,78,79,1.0,0.07040998217468805,0.4968152866242038,0.964795008912656,0.585042735042735,18.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.15,seen,560,12,548,11,85,0.9166666666666666,0.1551094890510949,0.11458333333333333,0.8807785888077858,0.7361111111111112,25.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.2,unseen,1200,78,1122,78,88,1.0,0.0784313725490196,0.46987951807228917,0.9607843137254902,0.5846153846153845,18.0
libero_goal_20260907,libero_goal,20260907,unlabeled_reference_budget,0.2,seen,560,12,548,11,101,0.9166666666666666,0.1843065693430657,0.09821428571428571,0.8661800486618004,0.7305555555555556,25.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.01,unseen,1200,78,1122,76,5,0.9743589743589743,0.004456327985739751,0.9382716049382716,0.9849513231866174,0.6991452991452993,20.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.01,seen,560,12,548,7,5,0.5833333333333334,0.009124087591240875,0.5833333333333334,0.7871046228710463,0.813888888888889,19.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.03,unseen,1200,78,1122,77,15,0.9871794871794872,0.013368983957219251,0.8369565217391305,0.986905251611134,0.6581196581196582,19.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.03,seen,560,12,548,10,26,0.8333333333333334,0.04744525547445255,0.2777777777777778,0.8929440389294405,0.7944444444444446,24.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.05,unseen,1200,78,1122,77,40,0.9871794871794872,0.035650623885918005,0.6581196581196581,0.9757644316467846,0.6273504273504275,18.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.05,seen,560,12,548,10,36,0.8333333333333334,0.06569343065693431,0.21739130434782608,0.8838199513381996,0.7750000000000002,23.5
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.1,unseen,1200,78,1122,78,50,1.0,0.044563279857397504,0.609375,0.9777183600713012,0.6196581196581199,18.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.1,seen,560,12,548,10,55,0.8333333333333334,0.10036496350364964,0.15384615384615385,0.8664841849148419,0.7694444444444444,23.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.15,unseen,1200,78,1122,78,65,1.0,0.057932263814616754,0.5454545454545454,0.9710338680926917,0.5982905982905983,18.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.15,seen,560,12,548,11,73,0.9166666666666666,0.1332116788321168,0.13095238095238096,0.8917274939172749,0.7416666666666667,25.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.2,unseen,1200,78,1122,78,65,1.0,0.057932263814616754,0.5454545454545454,0.9710338680926917,0.5974358974358973,18.0
libero_goal_20260907,libero_goal,20260907,success_calibration_budget,0.2,seen,560,12,548,11,76,0.9166666666666666,0.1386861313868613,0.12643678160919541,0.8889902676399026,0.7388888888888889,25.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.01,unseen,1200,9,1191,8,0,0.8888888888888888,0.0,1.0,0.9444444444444444,0.7666666666666666,21.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.01,seen,560,22,538,9,0,0.4090909090909091,0.0,1.0,0.7045454545454546,0.9015151515151515,21.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.03,unseen,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.7259259259259259,20.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.03,seen,560,22,538,13,0,0.5909090909090909,0.0,1.0,0.7954545454545454,0.7954545454545454,16.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.05,unseen,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.6629629629629629,20.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.05,seen,560,22,538,21,8,0.9545454545454546,0.01486988847583643,0.7241379310344828,0.969837783034809,0.6606060606060606,19.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.1,unseen,1200,9,1191,9,3,1.0,0.0025188916876574307,0.75,0.9987405541561712,0.6259259259259259,16.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.1,seen,560,22,538,21,43,0.9545454545454546,0.07992565055762081,0.328125,0.9373099019939168,0.6075757575757575,18.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.15,unseen,1200,9,1191,9,7,1.0,0.005877413937867338,0.5625,0.9970612930310663,0.6185185185185185,16.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.15,seen,560,22,538,22,64,1.0,0.11895910780669144,0.2558139534883721,0.9405204460966543,0.5878787878787879,18.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.2,unseen,1200,9,1191,9,29,1.0,0.02434928631402183,0.23684210526315788,0.9878253568429891,0.585185185185185,15.0
libero_goal_20260908,libero_goal,20260908,unlabeled_reference_budget,0.2,seen,560,22,538,22,90,1.0,0.16728624535315986,0.19642857142857142,0.9163568773234201,0.5787878787878789,18.0
libero_goal_20260908,libero_goal,20260908,success_calibration_budget,0.01,unseen,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.6851851851851852,21.0
libero_goal_20260908,libero_goal,20260908,success_calibration_budget,0.01,seen,560,22,538,21,6,0.9545454545454546,0.011152416356877323,0.7777777777777778,0.9716965190942887,0.712121212121212,23.0
