fold,suite,seed,reference_cap,method,view,scope,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,seen,560,12,0.8952250608272506,0.6052464838537845,0.9994212962962963,1.0,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,full,unseen,1200,78,0.9978861008272772,0.9752974246770002,0.9998501788489991,0.9972222222222222,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,seen,560,12,0.2760036496350365,0.01834891204879532,0.43371630713402864,0.23174603174603173,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,common_horizon,unseen,1200,78,0.6414369943781708,0.11633950689265299,0.42521788662985244,0.45003401360544215,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q0,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q0,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q4,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q4,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q9,seen,316,12,0.25219298245614036,0.029642300356019283,0.348019221753399,0.42857142857142855,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q9,unseen,469,78,0.4703587120466916,0.16928556365385694,0.6299558408247715,0.3254761904761905,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q14,seen,43,12,0.3844086021505376,0.45187408109069005,0.7058823529411765,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q14,unseen,428,78,0.6696336996336997,0.37247366503224777,0.7089583684476657,0.7180952380952381,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q19,seen,23,12,0.4090909090909091,0.6620121364080848,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q19,unseen,127,78,0.5259026687598116,0.6773788580922365,0.6785130718954249,0.7083333333333334,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q29,seen,12,12,,1.0,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,q29,unseen,79,78,0.6282051282051282,0.9941823853767164,0.8823529411764706,0.75,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,seen,560,12,0.8952250608272506,0.6052464838537845,0.9994212962962963,1.0,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,full,unseen,1200,78,0.9978861008272772,0.9752974246770002,0.9998501788489991,0.9972222222222222,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,560,12,0.2760036496350365,0.01834891204879532,0.43371630713402864,0.23174603174603173,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,unseen,1200,78,0.6414369943781708,0.11633950689265299,0.42521788662985244,0.45003401360544215,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q0,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q0,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q4,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q4,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q9,seen,316,12,0.25219298245614036,0.029642300356019283,0.348019221753399,0.42857142857142855,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q9,unseen,469,78,0.4703587120466916,0.16928556365385694,0.6299558408247715,0.3254761904761905,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q14,seen,43,12,0.3844086021505376,0.45187408109069005,0.7058823529411765,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q14,unseen,428,78,0.6696336996336997,0.37247366503224777,0.7089583684476657,0.7180952380952381,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q19,seen,23,12,0.4090909090909091,0.6620121364080848,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q19,unseen,127,78,0.5259026687598116,0.6773788580922365,0.6785130718954249,0.7083333333333334,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q29,seen,12,12,,1.0,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,q29,unseen,79,78,0.6282051282051282,0.9941823853767164,0.8823529411764706,0.75,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,560,12,0.8978102189781022,0.6058658135118774,0.9994212962962963,1.0,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,unseen,1200,78,0.9607614607614607,0.8459185844873928,0.9824646394437663,0.9906746031746033,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,560,12,0.2784367396593674,0.018519416964973855,0.43371630713402864,0.23174603174603173,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,unseen,1200,78,0.6375862699392111,0.11506307458910864,0.42267092706283554,0.4467006802721088,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q0,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q0,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q4,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q4,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q9,seen,316,12,0.25219298245614036,0.029642300356019283,0.348019221753399,0.42857142857142855,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q9,unseen,469,78,0.4703587120466916,0.16928556365385694,0.6299558408247715,0.3254761904761905,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q14,seen,43,12,0.3844086021505376,0.45187408109069005,0.7058823529411765,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q14,unseen,428,78,0.5024542124542124,0.23475252943890434,0.5097945577466898,0.7208730158730159,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q19,seen,23,12,0.4090909090909091,0.6620121364080848,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q19,unseen,127,78,0.31030873888016747,0.5578929896215759,0.22814542483660133,0.20833333333333334,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q29,seen,12,12,,1.0,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,q29,unseen,79,78,0.6282051282051282,0.9941823853767164,0.8823529411764706,0.75,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,560,12,0.8231447688564477,0.23060880541492018,1.0,1.0,0.45,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,unseen,1200,78,0.9982288952877189,0.9563116505736072,0.9983706949828642,0.9930555555555555,0.3566666666666667,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,560,12,0.3250456204379562,0.020393607893607894,0.47257383966244726,0.5714285714285715,0.42857142857142855,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,unseen,1200,78,0.7053967274555509,0.15079947979229882,0.5557241043504316,0.5263888888888889,0.3333333333333333,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q0,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q0,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q4,seen,560,12,0.5,0.02142857142857143,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q4,unseen,1200,78,0.5,0.065,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q9,seen,316,12,0.5,0.0379746835443038,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q9,unseen,469,78,0.5,0.16631130063965885,0.5,0.5,0.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q14,seen,43,12,0.12634408602150538,0.1799164091330181,0.7058823529411765,0.7142857142857143,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q14,unseen,428,78,0.7509523809523809,0.5037935505859309,0.7278966983163848,0.8046230158730159,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q19,seen,23,12,0.09090909090909091,0.36979983482078316,0.8181818181818182,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q19,unseen,127,78,0.8126635269492413,0.8492237580999072,0.8251633986928104,0.7083333333333334,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q29,seen,12,12,,1.0,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,q29,unseen,79,78,0.11538461538461539,0.9740511407054193,0.13725490196078433,0.25,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,560,12,0.9945255474452555,0.7486684611684611,0.9956709956709956,1.0,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,unseen,1200,78,0.9719365601718543,0.628494788214458,0.9661779348444339,0.9416798941798942,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,560,12,0.761405109489051,0.31299537994179943,0.6066384535530105,0.4492063492063492,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,unseen,1200,78,0.6806069747246218,0.21471793921543136,0.5772468039564816,0.5071598639455782,1.0,3
