fold,suite,seed,reference_cap,method,calibration,global_row,scope,first_alarm,failed_goal_release,drop_goal_release,reason
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1234,unseen,23,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1241,unseen,24,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1242,unseen,24,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1243,unseen,26,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1245,unseen,26,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1246,unseen,24,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1247,unseen,-1,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1259,unseen,23,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1272,unseen,23,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1273,unseen,23,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1274,unseen,23,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1276,unseen,23,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1278,unseen,24,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1328,unseen,23,19.0,19.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1331,unseen,24,18.0,18.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1332,unseen,-1,28.0,28.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1335,unseen,24,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1345,unseen,20,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1347,unseen,24,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1348,unseen,-1,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,1351,unseen,24,14.0,14.0,object_released_outside_goal
