fold,suite,seed,reference_cap,method,calibration,alpha,scope,task,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,19,1.0,0.24050632911392406,0.05,0.879746835443038,0.8666666666666667,25.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4666666666666666,13.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,4,0,0.5,0.0,1.0,0.75,0.9625,28.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,46,1,0.9019607843137255,0.0028653295128939827,0.9787234042553191,0.9495477274004157,0.8359477124183008,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,2,0,0.1111111111111111,0.0,1.0,0.5555555555555556,0.9833333333333333,24.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,5,0,0.5555555555555556,0.0,1.0,0.7777777777777778,0.7518518518518519,16.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,6,1.0,0.0759493670886076,0.14285714285714285,0.9620253164556962,0.9,26.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.48888888888888893,14.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,2,0,0.25,0.0,1.0,0.625,0.9666666666666667,25.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,44,0,0.8627450980392157,0.0,1.0,0.9313725490196079,0.8594771241830066,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,1,0,0.05555555555555555,0.0,1.0,0.5277777777777778,0.9851851851851853,21.0
