corpus,test,t,value,ci_lo,ci_hi,p,n_groups
main_S8,a_dhealthy_slow_minus_fast,20,0.0015,-0.0,0.0031,0.5177,15
main_S8,a_dhealthy_slow_minus_fast,25,0.0011,-0.0015,0.0037,0.7666,15
main_S8,a_dhealthy_slow_minus_fast,30,-0.0032,-0.0065,0.0002,0.0495,15
main_S8,b_vhat_pos_prop_slow,-1,0.9566,0.9487,1.0,0.0005,15
main_S8,b_vhat_pos_prop_fast,-1,0.9761,0.9722,1.0,,92
main_S8,b_vhat_pos_prop_fail,-1,0.6944,0.6275,0.75,,184
main_S8,c_slowsucc_vs_fail_stall,20,0.519,,,0.998,605
main_S8,c_slowsucc_vs_fail_stall,25,0.5273,,,0.985,605
main_S8,c_slowsucc_vs_fail_stall,30,0.6066,,,0.0945,605
main_S8,c_slowsucc_vs_fail_osc,20,0.5248,,,0.9905,605
main_S8,c_slowsucc_vs_fail_osc,25,0.5339,,,0.954,605
main_S8,c_slowsucc_vs_fail_osc,30,0.6033,,,0.1114,605
grid_S8,a_dhealthy_slow_minus_fast,20,0.0011,-0.0002,0.0023,0.2794,38
grid_S8,a_dhealthy_slow_minus_fast,25,0.0009,-0.0002,0.002,0.3868,38
grid_S8,a_dhealthy_slow_minus_fast,30,-0.0005,-0.002,0.001,0.8106,38
grid_S8,b_vhat_pos_prop_slow,-1,0.9623,0.932,1.0,0.0005,38
grid_S8,b_vhat_pos_prop_fast,-1,0.9833,0.9737,1.0,,66
grid_S8,b_vhat_pos_prop_fail,-1,0.7253,0.6471,0.8039,,138
grid_S8,c_slowsucc_vs_fail_stall,20,0.4683,,,0.9995,63
grid_S8,c_slowsucc_vs_fail_stall,25,0.4683,,,0.9995,63
grid_S8,c_slowsucc_vs_fail_stall,30,0.4683,,,0.9995,63
grid_S8,c_slowsucc_vs_fail_osc,20,0.5,,,1.0,63
grid_S8,c_slowsucc_vs_fail_osc,25,0.5873,,,0.7466,63
grid_S8,c_slowsucc_vs_fail_osc,30,0.5556,,,0.9595,63
grid_LR6,a_dhealthy_slow_minus_fast,20,0.0019,0.0003,0.0036,0.0275,46
grid_LR6,a_dhealthy_slow_minus_fast,25,-0.0012,,,1.0,1
grid_LR6,a_dhealthy_slow_minus_fast,30,,,,0.0005,0
grid_LR6,b_vhat_pos_prop_slow,-1,0.8992,0.8571,0.9591,0.0005,48
grid_LR6,b_vhat_pos_prop_fast,-1,0.9643,0.9506,1.0,,94
grid_LR6,b_vhat_pos_prop_fail,-1,0.5983,0.5882,0.6471,,43
grid_LR6,c_slowsucc_vs_fail_stall,20,0.56,,,0.976,50
grid_LR6,c_slowsucc_vs_fail_stall,25,0.4872,,,1.0,39
grid_LR6,c_slowsucc_vs_fail_stall,30,0.5833,,,0.8881,12
grid_LR6,c_slowsucc_vs_fail_osc,20,0.56,,,0.976,50
grid_LR6,c_slowsucc_vs_fail_osc,25,0.6538,,,0.4228,39
grid_LR6,c_slowsucc_vs_fail_osc,30,0.3333,,,0.3398,12
